sentence,difficulty,text_id,sentence_length,sentence_tokens,total_tokens_per_call,difficulty_reviewed,readability,difficulty_label
"Friedrich Wilhelm bat seinen Architekten Langhans darum, möglichst viel Öffnung des Brandenburger Tores zu ermöglichen, sodass die Durchsicht natürlich auf den Tiergarten und diese lange Achse Richtung Westen mit diesem westlichen Horizont [geht].",5,452,33,52.0,166.0,C2,46.44,C2
"Und das ist halt der einzige Laden, wo die Pommes eigentlich noch besser sind als in Holland oder Belgien.",2,455,19,23.0,127.0,B1,86.03,B1
“ Klaus Kümmerer und seine Kollegen von der Universität Leipzig experimentieren seit Jahren an solchen Wirkstoffmolekülen.,4,305,16,26.0,134.0,C1,39.33,C1
Und der Körper wird dann schwach.,1,749,6,,,A2,90.77,A2
"Was würde aus den Menschen von einer Maschine, wenn sich jedes Leid auf Knopfdruck beseitigen ließe?",5,unknown,16,,,C2,72.16,C2
"Wir sind Lena, 22, und Max, 25, und vielleicht bald deine neuen Mitbewohner.",1,536,13,,,A2,83.66,A2
Interessanterweise spielen kulturelle Unterschiede bei dieser Entscheidung fast keine Rolle.,4,600,10,,,C1,27.49,C1
Am Samstag hat sie auch Zeit.,0,466,6,,,A1,99.23,A1
Die Drei kommen im Park an.,0,493,6,,,A1,99.23,A1
"Es kann passieren, dass die Zähne nach dem Essen von Rhabarber pelzig werden.",3,637,13,,,B2,92.12,B2
Laura geht mit ihrem Freund Kilian ins Kino.,0,509,8,,,A1,71.82,A1
Diese Bücher werden bei uns als Teil des Kulturerbes gesammelt.,3,296,10,13.0,120.0,B2,78.25,B2
Hobby-Kletterer Thorsten macht sich mit einer Begleiterin auf den Weg.,1,321,10,18.0,122.0,A2,44.41,A2
"Sie müssen bedenken, dass durch dieses Brühverfahren gerade feine und sehr zart entwickelte Aromen der Kaffeebohne sehr, sehr gut herausgearbeitet werden können.",4,447,22,36.0,147.0,C1,49.15,C1
"Im Verlauf ihrer Forschung entdeckten sie eine bemerkenswerte Erkenntnis, wie Andreas Hänel erklärt: „Nebenher führten wir auch indirekte Untersuchungen durch, indem wir beispielsweise den Energieverbrauch für Beleuchtung intensiv analysierten.“",5,unknown,29,,,C2,25.12,C2
Die Eltern müssen einen Antrag stellen.,1,593,6,,,A2,99.23,A2
"„Nein, ich war dort zusammen mit meinem Schulfreund Lukas.",1,545,9,,,A2,87.72,A2
Aber dann gibt es ein Problem.,1,476,6,,,A2,99.23,A2
"Bis vor wenigen Jahren galt als sicher, dass die Anzahl der Nervenzellen, mit denen man zur Welt kommt, im Lauf des Lebens ständig abnimmt.",5,unknown,24,,,C2,72.5,C2
"abgebildet, die den kleinen Inselstaat repräsentiert.",1,741,6,,,A2,56.93,A2
"Im Zentrum erleben wir den Ort, der Geschichten erzählt, der nicht zuletzt Identität generiert.",5,unknown,14,,,C2,74.19,C2
"Für die regelmäßigen Treffen der Lokalgruppe, der sogenannten „Convivie“, stellt Ferdinand – selbst langjähriges Slow-Food-Mitglied – den Gleichgesinnten auch gerne seine Räumlichkeiten zur Verfügung: „Ich bin mehr oder weniger auf ‘m Land auch großgeworden und hab’ noch im Hinterkopf zumindest, fast auf der Zunge, wie eine richtige Milch schmeckt und keine aus der Tüte.",4,315,54,86.0,210.0,C1,27.16,C1
"Und wer Leitungswasser trinkt, spart Geld, Energie und unnötige Verpackung.",3,643,10,,,B2,69.79,B2
"Man schafft Illusionen im Studio, [und] die dann eigentlich so wirken, als sei es echt .",4,451,16,22.0,128.0,C1,81.63,C1
Nach vier Stunden hält der Zug in Paris.,1,491,8,,,A2,88.74,A2
Er lebt im westdeutschen Boppard am Rhein.,0,451,7,12.0,117.0,A1,89.75,A1
"Sie können dort morgen frühstücken und dann schwimmen gehen“, antwortet Herr Fink.",2,486,12,,,B1,76.22,B1
Und was kaufen sich die Kinder am liebsten für ihr Taschengeld?,2,654,11,,,B1,94.15,B1
Mit guten Vorsätzen kann man sein Schicksal aber auch selbst bestimmen.,4,438,11,15.0,122.0,C1,77.23,C1
"Die Pracht des Gebäudes, seine Höhe und die Figuren an den Säulen , das ist wirklich spektakulär .",3,452,18,24.0,133.0,B2,89.08,B2
Seit Ende des Zweiten Weltkriegs ist Breslau ein Teil Polens.,2,446,10,16.0,123.0,B1,95.17,B1
Lottas Vater will mit ihr zum Arzt gehen.,1,519,8,,,A2,105.66,A2
Darüber hinaus können vor die Lok noch Waggons im alten Stil angekoppelt werden.,3,311,13,21.0,128.0,B2,66.74,B2
Seit vier Uhr in der Früh steht der Schäfer zusammen mit einer Auszubildenden und seinem Sohn im Stall und kümmert sich um die Neugeborenen.,3,295,24,33.0,143.0,B2,64.04,B2
"Weil sonst immer Pommes irgendwie bei einer Currywurst daneben als Beilage ist [sind], oder beim Burger.",2,455,16,25.0,130.0,B1,63.7,B1
"Das wird dann vielleicht ein Buch, aber vor allen Dingen hör’ ich erst mal zu.",2,448,15,18.0,123.0,B1,98.55,B1
Vor dem Haus steht ein Auto.,0,505,6,,,A1,90.77,A1
Er sitzt allein auf einer Bank.,0,475,6,,,A1,99.23,A1
"Ehret die Mutter, dann ist alles in Butter.",3,300,8,11.0,116.0,B2,88.74,B2
Helle Nächte in der Stadt Großstädte in Dunkelheit?,1,283,8,16.0,121.0,A2,105.66,A2
"“ Gabriele Weishäupl erklärt, dass Ludwig II.",1,308,7,14.0,119.0,A2,73.85,A2
"Entschädigung gibt es nur, wenn der Wolf als Täter eindeutig nachgewiesen wird.",4,440,12,19.0,126.0,C1,93.14,C1
"Am häufigsten werden die Gesichtsfarbe, die Augenfarbe und die Augenform verändert.",3,750,11,,,B2,43.39,B2
"“ Fast alle Risiken des Rauchens, selbst das, an Lungenkrebs zu erkranken, dezimieren, verringern sich also.",4,298,16,31.0,136.0,C1,81.63,C1
"Es geht also um Fundamentales wie Dialoggestaltung, Technik der Beschreibung, Erzählperspektiven, um die grundlegenden Werkzeuge der Sprache.",5,unknown,17,,,C2,37.3,C2
Und mit Zielen können wir Menschen super arbeiten – mit positiven Zielen.,2,298,12,15.0,120.0,B1,34.93,B1
"Es enthält außerdem viele Pflanzeninhaltsstoffe, die sogenannten Mikronährstoffe, welche Entzündungen hemmen und den Stoffwechsel ankurbeln.",4,704,15,,,C1,30.87,C1
"So richtig als Wiesn-Kleidungsstück setzte es sich erst spät durch, erzählt Egger: „Das erste Werbeformat, das ich gefunden habe, war von Lodenfrey , und das ist eigentlich erst aus den [19]70er Jahren so.",4,320,33,53.0,163.0,C1,64.38,C1
"Die ursprünglich im Jahr 1946 präsentierten Werke bildeten später nicht nur den Grundstock der Jugendbibliothek, sondern stellten auch einen bedeutenden kulturellen Beitrag dar.",5,unknown,23,,,C2,48.13,C2
Die Touristen machen dann z. B. Fahrradtouren.,0,717,7,,,A1,89.75,A1
Am Montag fliegen die Zwei von Hamburg nach Mallorca.,1,482,9,,,A2,79.26,A2
"Während sie auf dem Land bei gutem Wetter auch einen Sternenhimmel sehen, kann das in großen Städten sehr schwierig sein.",4,283,20,25.0,135.0,C1,76.56,C1
"Damit das nicht passiert, warnt uns das Durstgefühl: Wenn wir beim Sport schwitzen oder zu salzig essen, dann wird unser Mund trocken und wir wissen, dass wir Flüssigkeit trinken müssen.",3,665,30,,,B2,74.87,B2
Eine Woche werden sie hier sein.,0,521,6,,,A1,90.77,A1
"Ein beliebiger Forscher aus Stanford, London oder Berlin wird mit einer der folgenden Personen konfrontiert, die seine Intelligenz einschätzen sollen: a) mit einem Inuit aus Grönland, b) mit einem Indio aus dem Amazonasbecken, c) mit einem Seefahrer aus Polynesien.",5,unknown,39,,,C2,31.89,C2
Warum trennen sich Ehepaare heute später?,2,624,6,,,B1,90.77,B1
"Toller Mann, toller Sänger, toller Entertainer !",0,469,7,14.0,118.0,A1,73.85,A1
"Die Chinesen lässt der Krawall kalt , sie sind ja zum Glück für die Demonstranten hier in Trier nicht zuständig.",4,454,20,27.0,135.0,C1,77.57,C1
"Fernsehen ist, in einem Wort, das Medium unseres Alltags: ein ""Lebensmittel"" der Moderne.",5,unknown,13,,,C2,58.28,C2
"Wer dezente Zurückhaltung langweilig findet, kann mit dem Rock 'n' Roll-Trend diese Weihnachten nicht falsch liegen .",4,481,17,26.0,135.0,C1,63.7,C1
"Nannten sie eine möglichst hohe Zahl, dann bekamen sie mehr Geld.",3,674,11,,,B2,85.69,B2
"Der Nachbar nimmt den Deckel ab, und ich sehe, wie es rauskommt, alles kommt raus, was ich loswerden wollte, alles ist wieder da, kommt zu mir zurück, die Angst, die Bomben, Flugzeuge, Homs, meine Stadt, meine Heimat, Bomben, Angst, August 2013.

Die Schmerzen und die Angst im Nacken, ich starre in den Himmel, die Sonne scheint, Bombenwetter, die Bomber kreisen und kreisen über Homs, die Piloten halten Ausschau, wo sie ihre teuren Bomben auf uns Syrer abwerfen sollen, das Preisleistungsverhältnis von Bomben zu Opfern muss stimmen.",5,unknown,86,,,C2,61.67,C2
Trier ist nicht das neue Karl-Marx-Stadt.,2,454,6,12.0,115.0,B1,73.85,B1
Nach 10 Minuten verabschiedet sich Paul wieder und geht aus dem Haus.,1,537,12,,,A2,84.68,A2
"Die Chefin, Frau Müller, zeigt ihm die Küche und erklärt alles: „Hier sind die Tassen, dort ist die Kaffeemaschine und hier stehen die Kuchen.",1,528,24,,,A2,72.5,A2
Von der EZB wechselte er nach Berlin ins Bundesarbeitsministerium .,3,445,10,15.0,122.0,B2,45.42,B2
"Etwas, das sie sich auch für alle Nachrichtenproduzentinnen und -produzenten wünscht: „In erster Linie können sich die Journalisten und Journalistinnen immer auch fragen: ‚Was jetzt?",4,290,25,40.0,152.0,C1,29.18,C1
Auf dem Foto sitzt ihre Oma auf einer Bank.,0,545,9,,,A1,96.18,A1
"“

„Muss ich nicht sehr kreativ sein?",1,467,7,,,A2,116.15,A2
"Bayern ist das beliebteste Reiseziel Deutschlands, und die bayerische Lebensart ist weltweit bekannt.",3,453,13,22.0,128.0,B2,66.74,B2
"Wer es mit dem sportlichen Ehrgeiz aber übertreibt, erhöht das Verletzungsrisiko und muss manchmal sogar den Sport an den Nagel hängen.",4,317,21,33.0,145.0,C1,75.54,C1
Im Durchschnitt bezahlen sie 15. 000 Euro.,1,483,7,11.0,117.0,A2,89.75,A2
"Er wollte so viele Unterlagen, da denkt man sich auch: Ich will mir hier keine Villa anmieten .",2,479,18,23.0,127.0,B1,71.14,B1
Tims Platz hat die Nummer 23. Er ist am Fenster.,0,524,10,,,A1,100.24,A1
Sie haben dann ihren Privatjet am Flughafen stehen.,2,322,8,10.0,116.0,B1,80.28,B1
"Die Deutschen machen mit Rhabarber gerne Kompott, Marmelade oder Kuchen.",2,637,10,,,B1,86.71,B1
"Sie kamen aus den fünf Oberliga-Klassen, der bis dahin höchsten Spielklasse im westdeutschen Fußball, denen Klubs aus den Regionen Süd, Südwest, West, Nord und Berlin angehörten.",5,314,26,42.0,156.0,C2,62.01,C2
"Auch Dünen , Salzwiesen und Sandbänke gehören zur Schutzzone .",2,471,10,19.0,124.0,B1,80.28,B1
"Das sind solche kleinen … kennt ihr vielleicht, so Churros aus Spanien?",1,459,12,16.0,122.0,A2,85.69,A2
"Wir haben versucht, gemeinsam mit Kollegen ein solches ökoeffektives Konzept am Oberlin College umzusetzen.",5,unknown,14,,,C2,40.35,C2
Diese sogenannte „Ehrenpatenschaft“ hat nur symbolischen Charakter.,4,593,7,,,C1,5.15,C1
“ Lederhosen und Dirndl gehörten also ursprünglich gar nicht zum Oktoberfest- Outfit .,2,320,13,19.0,129.0,B1,51.85,B1
Wir wollen diesen Tag … uns immer wieder daran zurückerinnern .,1,483,11,14.0,119.0,A2,87.72,A2
"Die Tatsache, dass dann doch Frauen zu den Spielen zugelassen wurden, dass die Spiele für sie geöffnet wurden wie eine geschlossene Tür, soll – so Manfred Lämmer – ein Grund für seinen Rücktritt als langjähriger IOC-Präsident im Jahr 1925 gewesen sein.",5,288,41,56.0,172.0,C2,57.27,C2
Willi bringt seinen Koffer in die Wohnung.,0,489,7,,,A1,89.75,A1
Manche von ihnen kommen schon seit Jahren die 40 Kilometer aus der Stadt nach Hohenbercha.,2,319,15,21.0,125.0,B1,64.71,B1
"Paul schreibt, er liebt besondere Tiere.",0,536,6,,,A1,99.23,A1
Verschicken Sie doch mal QR-Einladungen …,2,603,6,,,B1,49.48,B1
"Nicht ganz so fettig, aber genauso lecker … mindestens.",2,459,9,12.0,122.0,B1,71.82,B1
"„Wir werden das Fahrrad finden“, sagt die Polizistin.",1,518,8,,,A2,88.74,A2
"Der Name „Natürli“ ist Programm , betont eine Unternehmenssprecherin: „Es ist uns wichtig, dass wir regionale Milch in unserem Käse verarbeiten.",3,322,21,34.0,145.0,B2,59.64,B2
"Doch bis dahin gilt es, einiges zu beachten.",3,289,8,10.0,117.0,B2,105.66,B2
"Sport zu treiben, bedeutet auch immer, ein Risiko einzugehen.",3,317,9,13.0,120.0,B2,87.72,B2
Drehplatz für die Videos ist eine Einfamilienhaussiedlung in der Nähe von Karlsruhe.,2,457,12,21.0,127.0,B1,59.3,B1
"Sie sehen ’ne frische Wolfs fährte , die ist von letzter Nacht, wenige Stunden alt.",2,440,15,21.0,127.0,B1,91.11,B1
"Ja, und leider halten Ehen nicht ewig: Im Schnitt lassen sich Ehepaare heute nach 14,8 Jahren scheiden.",3,624,17,,,B2,88.06,B2
"Doch zurück zu den Anfängen, bevor Wilhelm Busch zum Eigenbrötler wurde: Als junger Mann hatte er zunächst Maschinenbau studiert, sein Traum war es aber, Maler zu werden.",4,284,27,41.0,151.0,C1,69.45,C1
Diese Tradition ist schon über 400 Jahre alt.,2,633,8,,,B1,88.74,B1
"Interessanterweise beteiligten sich ausschließlich Griechen an der Veranstaltung, was auf die kulturelle Besonderheit dieser Zusammenkunft hinweist.",5,unknown,16,,,C2,29.86,C2
Die vier Pferde werden von der römischen Siegesgöttin Victoria gelenkt.,4,452,10,19.0,124.0,C1,44.41,C1
"Kirchenhistoriker vermuten, dass es den Mensch gewordenen Sohn Gottes mit all seinem Leid und Schmerz charakterisiert – ein Gleichnis, das seine irdische Existenz in all ihren Facetten widerspiegelt.",5,unknown,28,,,C2,44.07,C2
"Ja, schon, aber letztendlich sind es dann doch wieder die Lehrer, die “Pauker”, die die Sache nicht in den Griff kriegen, sich zu wenig Mühe geben oder gar für ihren Beruf nicht geeignet sind.",5,unknown,34,,,C2,79.27,C2
"Wir haben keine Sehnsucht mehr nach unserer jetzigen Heimat, wir haben Sehnsucht nach den Erinnerungen, nach der Vergangenheit.",5,unknown,18,,,C2,53.21,C2
"Als er 1937 geboren wurde, war seine Mutter June gerade 17 Jahre alt und arbeitete als Tänzerin.",3,695,17,,,B2,71.14,B2
Moritz ist ein bekannter Wintersportort in der Schweiz.,1,461,8,13.0,118.0,A2,80.28,A2
Er hat die besten Fans der Welt.,0,527,7,,,A1,115.13,A1
"Für einen guten Schnitt ist unter anderem notwendig, die Spielszenen so aufeinanderfolgen zu lassen, dass es dem Betrachter nicht langweilig wird.",4,307,21,32.0,143.0,C1,67.08,C1
Unter welchen Voraussetzungen ist ihr Gebrauch gerechtfertigt?,5,unknown,7,,,C2,30.53,C2
"Was haben diese Heimatländer an sich, dass wir mit Sehnsucht, Traurigkeit und Erinnerungen überfordert und belastet sind?",5,unknown,17,,,C2,71.14,C2
Kennen Sie die deutsche Stadt Essen?,0,744,6,,,A1,90.77,A1
"Und notwendig für einen qualitativ guten Film ist vor allem, Regeln und Strukturenzu beachten.",3,307,14,19.0,129.0,B2,74.19,B2
"Dadurch gibt es [die] Möglichkeit, sich kulturell auszutauschen, und das ist ein sehr guter Weg, die auch teilweise gemeinsame Geschichte zu bearbeiten , besser [zu] verstehen und auch die Zukunft neu [zu] gestalten.",4,446,33,47.0,160.0,C1,64.38,C1
"Sowohl das Vergnügen als auch das Verlangen nach Speisen schwindet gänzlich, während die Wahrnehmung des Hungergefühls vollständig erlischt.",5,unknown,18,,,C2,70.13,C2
Moritz und die frische Bergluft allemal .,1,461,7,12.0,115.0,A2,99.23,A2
"Wir entwickeln das Haus, wir machen eigentlich das gesamte Objekt wohnlicher .",2,464,12,14.0,122.0,B1,68.77,B1
Fortan wurde alle Jahre wieder gefeiert.,1,320,6,9.0,113.0,A2,90.77,A2
"„Tut mir leid, das Kartenlesegerät ist kaputt.",1,538,7,,,A2,81.29,A2
"Zu den Marktführern gehören die Konzerne Nestlé und Jacobs Douwe Egberts, Lavazza und Tchibo.",3,291,14,27.0,134.0,B2,65.73,B2
Die zweite hier zu skizzierende Architekturstrategie betrifft den Umgang mit der alten Stadt.,5,unknown,13,,,C2,58.28,C2
In vielen Ländern gibt es überhaupt keine Regelungen .,2,470,9,10.0,117.0,B1,71.82,B1
Diese Frage haben 2. 018 Menschen in Deutschland beantwortet.,1,700,9,,,A2,92.29,A2
"In einer solchen Situation, in der jemand zu ihm tritt und mit den Worten ‚Ich habe es bereits fünfmal versucht und bin gescheitert‘ verzweifelt ist, entgegnet er mit dem empathischen Ausdruck: ‚Ihre Hartnäckigkeit weist auf die Bedeutung dieser Angelegenheit für Sie hin.‘",5,unknown,42,,,C2,37.31,C2
"Während seit einigen Jahren Käfighaltung für Hühner verboten ist, bleiben ""Haltebedingungen"" für Menschen vielfach gesundheits und umweltschädigend.",5,unknown,17,,,C2,37.3,C2
"Auf einem besonderen Gelände oder in Gebäuden bieten namhafte, bekannte, Unternehmen ihre Produkte günstiger an als in Geschäften.",3,301,18,25.0,137.0,B2,70.13,B2
Das hat auch ’ne ganze Zeit gedauert.,2,471,7,11.0,114.0,B1,115.13,B1
"Folgt man den Ausführungen seiner Biografin Eva Weissweiler, so war er vornehmlich ein Mensch, der die Einsamkeit suchte; dass er als Sonderling und Eremit galt, hatte sich bereits weithin herumgesprochen.",5,unknown,30,,,C2,41.03,C2
Das hat unter anderem mit dem Stellenwert des Essens in Deutschland zu tun.,4,315,13,16.0,121.0,C1,75.2,C1
"Im österreichischen Sprachraum spricht man hier von Austriazismen, im Schweizerdeutschen von Helvetismen und im Bundesdeutschen von Teutonismen.",5,323,17,31.0,144.0,C2,28.84,C2
Mathematiker nennen dieses mathematische Prinzip das „Geburtstagsparadoxon“.,4,673,7,,,C1,-20.24,C1
Kaum eine andere Region ist vom Ersten Weltkrieg noch heute so geprägt wie die Provinz um Ypern.,4,480,17,24.0,132.0,C1,88.06,C1
Also steigt er aus und wartet im Bahnhof.,1,491,8,,,A2,88.74,A2
"Alles, was nicht verbraucht, sondern lediglich genutzt wird, gelangt in technische Kreisläufe.",5,unknown,12,,,C2,76.22,C2
"Du wusstest: 1000 Schafe, dann kannst du einen Angestellten bezahlen.",2,295,10,21.0,127.0,B1,103.63,B1
Zum Beispiel Bernadette und Ralf Eschke: Sie haben ein Haus in Bulgarien gekauft.,1,472,13,21.0,128.0,A2,92.12,A2
Mona und Amira sagen Danke und Tschüss.,0,518,7,,,A1,106.67,A1
Timo stellt die Chips auf den Tisch.,0,515,7,,,A1,115.13,A1
Deshalb sieht jede Eisblume anders aus.,2,595,6,,,B1,73.85,B1
In polyamorösen Beziehungen dagegen gehören Offenheit und der gegenseitige Austausch gewissermaßen zu den Spielregeln.,4,324,14,24.0,140.0,C1,48.81,C1
In dem Laden probiert Laura verschiedene Kleider an.,0,530,8,,,A1,71.82,A1
"Sie haben nicht nur acht Arme, die direkt aus dem Kopf wachsen.",2,588,12,,,B1,93.14,B1
"Krankhafte Essstörungen: Magersucht und Bulimie Die einen hungern, die anderen essen unkontrolliert und erbrechen das Gegessene wieder.",3,285,17,35.0,142.0,B2,54.22,B2
Drei Straßen weiter: das Gegenteil.,1,454,5,8.0,114.0,A2,83.32,A2
So kann man die gekauften Produkte in der Regel nicht umtauschen und zu manchen Verkaufsstätten muss man weit fahren.,3,301,19,25.0,135.0,B2,77.57,B2
"Jetzt ist sie glücklich, denn der Hund gefällt ihr sehr.",1,496,10,,,A2,95.17,A2
Für die Österreicherin Katharina Kos bedeutet Wandern Freiheit.,2,476,8,14.0,122.0,B1,37.98,B1
"Gewiss haben damals rationale Abwägungen eine Rolle gespielt, darunter auch das deutsche Interesse an der Vermeidung von Flüchtlingsströmen, die auf Mitteleuropa gerichtet gewesen wären.",5,unknown,24,,,C2,55.58,C2
Wünschenswert sind darüber hinaus Auslandserfahrung durch längere Studien- oder Arbeitsaufenthalte im Ausland sowie gute Kenntnisse einer weiteren Fremdsprache.,5,unknown,18,,,C2,27.83,C2
Ende des 18. Jahrhunderts bauen ließ.,1,452,6,10.0,118.0,A2,102.27,A2
"Forscher versuchen, gezielt in diese Vorgänge einzugreifen.",5,unknown,7,,,C2,81.29,C2
"Bemerkenswert ist, dass lediglich ein Zehntel der Einnahmen in den Ursprungsländern des Kaffeeanbaus verbleibt, die sich in Süd- und Mittelamerika, Asien sowie Afrika befinden.",5,unknown,24,,,C2,55.58,C2
Am Fuße des Felsens liegt jede Menge Sand.,1,321,8,12.0,116.0,A2,114.12,A2
Der Schaffner gibt Tim die Fahrkarte und geht weiter.,0,498,9,,,A1,96.18,A1
"Neben der bedarfsorientierten Verteilung haben wir seit mehreren Jahren die Diskussion, ob nicht eine 1:1-Abdeckung des Computerbedarfs in der Schule viel sinnvoller wäre.",5,unknown,23,,,C2,56.59,C2
Die wenigsten jungen Menschen innerhalb der EU leben in Tschechien und Bulgarien mit jeweils 9 Prozent.,3,597,16,,,B2,63.7,B2
Aber jetzt kann ich meine Oma besuchen.,1,498,7,,,A2,89.75,A2
Diese alte Regel ist inzwischen passé .,3,322,7,7.0,112.0,B2,90.77,B2
Simon soll Kaffee und Kuchen servieren.,0,528,6,,,A1,90.77,A1
"Sie waren Seefahrer und Walfänger , Kapitäne und Fischer – bis so gegen Ende des 19. Jahrhunderts der Tourismus kam und aus der Fischerinsel eine Urlaubsinsel wurde.",4,482,27,40.0,150.0,C1,84.17,C1
"Sie wurde in den 1960er Jahren von Rudolf Häntzschel angelegt: „Auch wenn das damals schon Landschaftsschutzgebiet war hier und man eigentlich tunlichst nichts an den Felsen und der Landschaft verändern sollte: Der alte Häntzschel, obwohl er ‘n Behindertenausweis hatte und Teilinvalide war, hat ja in mühevoller Kleinarbeit auf irgendwelchen Schrottplätzen in der Umgebung Leitern zusammengesammelt, Stahlseile, Eisenstifte, alte Balken und Bohlen von der Eisenbahn, hat sich das dann immer von irgendwelchen Kumpels hierherfahren und hochtragen lassen und hat dann eigentlich illegal diesen Weg durch diese Schlucht ausbauen lassen als ‘ne Steiganlage.",5,321,91,154.0,283.0,C2,-3.98,C2
"Und dann soll jeder loslegen und kreativen Müll produzieren, sich überlegen, wie er oder sie sich über sich selbst lustig machen könnte.",4,303,22,29.0,136.0,C1,74.53,C1
“ Frau Müller gibt ihr einen Zettel und einen Stift.,0,529,10,,,A1,113.1,A1
"Wer nach Feierabend diese Frage stellt, hat oft einen Arbeitsplatz ohne Fenster.",4,735,12,,,C1,84.68,C1
Seine Mitglieder bestehen aus Tausenden von Industrieunternehmen und -verbänden.,3,299,9,15.0,124.0,B2,36.96,B2
Wien – die Hauptstadt Österreichs.,0,473,5,8.0,113.0,A1,50.5,A1
Mona will heute ihre Freundin in der Stadt treffen.,1,517,9,,,A2,79.26,A2
"Insofern ist das Stück eine bittere soziale Anklage gegen die vollgefressene dörfliche Bourgeoisie, gegen eine Witwe Bolte, die es sich leisten kann, vier Hühner alleine zu essen.",5,284,27,48.0,157.0,C2,60.99,C2
Auf dem Boden sitzt ein Vogel.,0,493,6,,,A1,90.77,A1
"Ab dem zwölften Lebensjahr, da läufst du halt so mit in den Orten in den verschiedenen, und dann sagst du: Ja, jetzt stellen wir mal was auf die Beine .",2,484,30,40.0,146.0,B1,75.88,B1
"Denn mit ihnen verband sie eine Hoffnung, sagt die heutige Bibliotheksdirektorin Christiane Raabe: „Die Hoffnung, dass die Kinder und Jugendlichen, die ja diese moralische Schuld nicht auf sich geladen hatten in Deutschland, dass es diejenigen sind, die auch vielleicht noch geformt werden könnten im Sinne von Weltoffenheit, von Versöhnung und insgesamt von eher internationalem als nationalem Denken.",5,296,57,84.0,205.0,C2,22.08,C2
"Glitzer , Funkeln und Metallic – für eine dekadente Party mit Familie und Freunden.",2,481,14,19.0,123.0,B1,67.76,B1
Man sitzt gemütlich im Café oder macht ein Picknick.,1,652,9,,,A2,104.64,A2
"Die meisten denken, dass die Wahrscheinlichkeit bei etwa ein bis fünf Prozent liegt.",3,673,13,,,B2,92.12,B2
Polyamorie – ein alternatives Beziehungsmodell Am Ende von Liebesfilmen finden sie sich doch immer: zwei Verliebte.,3,324,16,27.0,134.0,B2,56.25,B2
"Sauerstoff und Nahrung bekommt es aus dem Körper der Mutter, und zwar durch die sogenannte Nabelschnur.",3,703,16,,,B2,72.16,B2
"Hey Leute, guckt euch mal das Wetter an.",0,467,8,11.0,116.0,A1,105.66,A1
"Beim Null-Stern-Hotel da ist ja genau das Interessante, dass viele Leute nicht mehr wissen, was es jetzt ist.",2,450,18,26.0,132.0,B1,70.13,B1
"/ Also, eine Sache, die wir hier gelernt haben, ist ja zum Beispiel richtig stehen, also auf beiden Beinen stehen und so was.",2,310,23,29.0,135.0,B1,74.53,B1
Reiseautoren reisen mit einer Absicht: ein Buch zu verfassen.,4,313,9,16.0,121.0,C1,79.26,C1
"Wir haben oben im Hochmünster … haben wir den Karlsthron , der auch von .",0,474,15,21.0,123.0,A1,93.14,A1
"Er muss nur geradeaus laufen, dann kommt ein großer See.",1,590,10,,,A2,103.63,A2
"Betrachtet man die heutige Architektur, so sieht man eher die Selbstverwirklichung der Architekten im Vordergrund stehen.",5,unknown,16,,,C2,46.78,C2
Pflastersteine markieren den Verlauf der abgerissenen Mauer.,3,439,7,16.0,121.0,B2,64.37,B2
Luan will eine Pizza Margherita haben.,0,483,6,,,A1,73.85,A1
"Zum Beispiel gibt es auch Wissen, Singen und Lachen.",1,744,9,,,A2,96.18,A2
Denn auch zu Bulgaren haben die Eschkes kaum Kontakt.,3,472,9,13.0,117.0,B2,79.26,B2
Anderen Rentnern wie Anna Lex gefällt es in Bulgarien.,1,472,9,14.0,120.0,A2,62.34,A2
Auch im Bereich feststehender Wendungen hält das Österreichische so manche Schwierigkeit und Hürde bereit.,4,323,14,21.0,132.0,C1,48.81,C1
Diese Woche hatte Tarik viel zu tun.,1,483,7,,,A2,106.67,A2
Ohne den Online-Handel im Hintergrund könnte ich kein so großes Sortiment vorhalten und könnte auch die günstigen Preise nicht anbieten.,4,449,20,26.0,138.0,C1,42.72,C1
"Der Versuch an der Universität Alaska hat gezeigt, dass sich Teilnehmer, die sich selbst im Spiegel anlächelten, anschließend viel besser fühlten.",4,734,21,,,C1,58.62,C1
2. Bürokisten Obst und Gemüse sind hier ganz klein geschnitten.,1,740,10,,,A2,86.71,A2
Um zehn Uhr öffnet das Bad wieder.,0,486,7,,,A1,115.13,A1
"Etwa ein Jahrhundert später beleuchten nicht mehr Kerzen die Straßen, sondern die so genannten Réverbères, Reflektorenlampen, die helleres Licht erzeugen.",5,unknown,20,,,C2,51.18,C2
Ist das nicht noch teurer als das bereits heute unfinanzierbare Eins-zu-eins-Modell?,5,unknown,11,,,C2,51.85,C2
Mirko will schnell zu seinen Eltern.,1,492,6,,,A2,99.23,A2
Dann sieht Tanja in den Spiegel.,0,507,6,,,A1,99.23,A1
Er ist eben nicht zwingend immer im Arbeitsbereich.,3,303,8,11.0,116.0,B2,63.36,B2
Auch das Brot und die Äpfel findet Mohammed.,0,511,8,,,A1,88.74,A1
Viele Leute ekeln sich vor Spinnen und Insekten.,1,457,8,13.0,118.0,A2,80.28,A2
Emma hat jetzt keine Angst mehr.,0,506,6,,,A1,90.77,A1
