sentence,difficulty
“ Vor fünf Jahren hat sie die Schule beendet.,A2
"Ihre Eltern wollten, dass sie in einer Bank arbeitet oder studiert.",B1
Aber sie hat sich in einem Restaurant beworben und dort eine Ausbildung als Köchin gemacht.,B1
Gleich danach hat sie das Café eröffnet.,B1
"Heute kommen die Leute aus der ganzen Stadt, weil sie die leckeren Kuchen essen und dabei",B1
"in Ruhe Zeitung lesen wollen.""",B1
"Ruhig ist es, denn Handys sind verboten.",B1
Clara Bertold liefert auch Essen und Kuchen für Geburtstage und Feste.,A2
Und was plant Clara?,A2
„Ich habe auf meinen Reisen viele interessante Rezepte kennengelernt.,B1
"Auch von meiner
Oma habe ich viel gelernt.",A2
Diese Rezepte möchte ich alle in einem Buch sammeln und es dann im Café verkaufen.,B1
"Seit zwei Monaten will ich dir schreiben, aber es ist immer so viel los!",B1
Ich bin jetzt seit vier Wochen in dem Verein für Paraglider.,A2
Es ist so aufregend!,A2
Die erste Woche war ich richtig durcheinander.,B1
Wir treffen uns immer freitags um acht Uhr für zwei Stunden.,A2
"Das passt sehr gut, denn am Freitag bin ich schon mittags mit der Arbeit fertig und ich freue mich schon am Morgen auf den Termin.",B1
Zuerst haben wir eine Stunde Unterricht.,A2
Ich habe schon so lange keinen Kurs mehr besucht.,B1
Ich bin wirklich aus der Übung.,B1
Die Themen sind sehr interessant und wichtig: Wir lernen alles über den Paragliding-Schirm und natürlich so wichtige Sachen wie: Wo kann man gut starten?,B1
Wie und wo kann man landen?,A2
"… Aber manchmal schlafe ich fast ein, weil es doch spät ist.",A2
Danach haben wir dann noch eine Stunde Fitness-Programm.,A1
Eigentlich mag ich das ja nicht so gerne… Aber die Geräte sind zum Glück ganz okay und der Trainer ist wirklich fit – er ist mein großes Vorbild!,B1
Danach gehe ich meistens noch mit ein paar Leuten aus dem Kurs in eine Kneipe.,B1
Der Trainer kommt auch oft mit.,A2
Das ist immer sehr lustig.,A2
Ich verstehe mich besonders gut mit Maria.,B1
Sie kommt aus Italien und wohnt schon seit 8 Jahren in Deutschland.,B1
Sie ist wirklich sehr cool und wir wollen am Wochenende einen Ausflug in die Berge machen.,B1
Ab April können wir endlich mit dem richtigen Flugtraining anfangen.,B1
"Ich freue mich sehr, dass du im Juli zu mir kommst und wir uns endlich wiedersehen.",B1
"Ich hoffe, dass ich dann schon richtig fliegen kann.",B1
Dann können wir auch zusammen in die Berge fahren.,A2
Vielleicht willst du ja auch einen Flug mit unserem Trainer machen?,B1
Er kann dich mitnehmen.,A2
Ganz liebe Grüße und bis bald,A2
Das Stadttheater zeigt ab Samstag das Erfolgs- Musical „Hair“ für alle Tanz- und Musik-Fans.,B1
"Vor der Show erzählen Ihnen die Schauspieler, wie sie trainieren und was ihre Lieblingstänze sind.",B1
"Tickets ab 30 Euro, Geburtstagskinder bekommen 30% Rabatt.",A2
"Wollen Sie mit Freunden, Familie oder Kollegen feiern?",A2
"Kommen Sie zu uns, wir bieten Ihnen Essen, eine Zaubershow und ab 23 Uhr Disko-Zeit mit den DJs Sven und Maja.",B1
Immer Donnerstag bis Sonntag!,A2
Ab 1. August gibt es wieder ein kostenloses Ferienangebot für Kinder undJugendliche im Stadtpark.,A2
"Wenn die Eltern arbeiten, können die Schülerinnenund Schüler von Montag bis Freitag Sport machen.",B1
"Sporttrainer helfen inverschiedenen Kursen, dass die Sechs- bis Sechzehnjährigen in ihremLieblingssport besser werden.",B1
In den letzten drei Wochen können dieMädchen sogar dienstags und donnerstags das Reiten versuchen – jeweilsvon 14:00 bis 17:30 Uhr.,B1
"Juri Meier organisiert das Ferienprogramm und erklärt: „Alle Informationen gibtes im Rathaus, bei mir im Büro oder auf der Homepagewww.",A2
“ Die Eltern sollen ihre Kinder spätestens eineWoche vor Ferienbeginn online anmelden.,B1
"Juri informiert: „Jede/r kannmitmachen, sportliche Jugendliche und auch Jugendliche mit wenig Erfahrungim Sport.",B1
"Man kann jeden Tag verschiedene Kurse wählen: Tennis für Anfänger,Basketballtraining oder Fußballspielen in der Mannschaft .",B1
Juri erklärt: „Also einfach Sportkleidung einpacken und kommen.,A2
Umziehenkönnt ihr euch hier.,B1
Brötchen für die Pause dürft ihr nicht vergessen.,A2
Denn beiuns bekommt ihr nur Mineralwasser.,B1
Saft oder Cola gibt’s am Kiosk imStadtpark.,A2
"“ Juri ist sich sicher, dass auch in diesem Sommer wieder viele dabeisind: „Immer mehr Kinder und Jugendliche kommen zu uns und haben bei unssehr viel Spaß, deshalb findet diesen Winter zum ersten Mal auch in den Ferienein Programm statt.",B1
Wie geht‘s dir?,A2
Jetzt bin ich seit drei Monaten in Norddeutschland und meineFamilie und Freunde fehlen mir sehr.,B1
"Zum Glück kommen meine Eltern, wenn sie Urlaub haben, nach Deutschland.",B1
Der Unterricht ist hier ganz anders als zuHause in Portugal.,A2
"Da hilft es schon, dass ich bereits sehr gut Deutsch spreche.",B1
So kann ich alles verstehen.,A2
Meine Gastfamilie ist nett.,A2
Ich mag besonders die beiden kleinen Jungen.,A2
Nachdem Abendessen passe ich manchmal auf sie auf oder helfe ihnen bei denHausaufgaben.,B1
"Die Arbeiten im Haushalt teilen sich die Eltern, da bin ich ganz froh.",B1
"Nach dem Mittagessen soll ich immer mit Bella, dem Hund der Familie, nach draußen, auch wenn es regnet.",B1
Das stört mich ein bisschen.,A2
"Übrigens hat Lisa, meine neue Schulfreundin, ein Pferd.",A2
Sie reitet ziemlich gut.,A2
Wir gehen oft an den Strand und ich mache mit dem Handy tolle Bilder von ihr.,B1
"Du weißt ja, ich schwimme gerne, aber das Meer war bisher zu kalt.",A2
Heute fahre ich noch ins Stadtzentrum.,A2
Lisa hat nämlich Geburtstag und ich möchte ihr einen Krimi kaufen.,A2
"Den habe ich mir vor zwei Wochen in derBibliothek ausgeliehen und bin sicher, dass er ihr auch gefällt.",B1
"Wir wollten auch ins Kino, aber sie hat leider keine Zeit und alleine macht es nicht so viel Spaß.",B1
Und bei dir?,A2
Ist deine Mutter wieder gesund?,A2
"Sag ihr, ich denke an sie.",A2
Fahren wir eigentlich nach dem Weihnachtsfest zusammen weg?,B1
