sentence,difficulty,text_id,sentence_length,sentence_tokens,total_tokens_per_call,difficulty_reviewed,readability
"Das heißt, man hat nicht nur mit einem Kind zwischen 10 und 13 Jahren gesprochen, sondern auch mit einem Elternteil.",A2,654,20,,,B2,85.02
"Und wenn für dich was übrigbleiben soll, müssen es ein paar Schafe mehr sein.",C1,295,14,21.0,124.0,B2,99.57
"Deshalb muss es noch mit entsprechenden Werkzeugen geglättet, nachgeschliffen werden.",C1,309,10,20.0,128.0,B2,52.87
"Doch bis dahin gilt es, einiges zu beachten.",C1,289,8,10.0,117.0,B2,105.66
"Finanziell lohnt sich der 200. Geburtstag von Karl Marx auf jeden Fall, denn das Geschäft mit Souvenirs läuft gut.",B2,454,19,27.0,136.0,B2,95.67
"Es ist erst acht Uhr morgens, aber hier in der Einsatzzentrale von Poelkappelle, erzählt er uns, sind schon dreißig Anrufe eingegangen .",B2,480,22,37.0,147.0,B2,67.08
"Aber die geben unserem Körper das falsche Signal, weil er dann zusätzliche Wärme produziert.",A2,599,14,,,B2,74.19
"Hier ist der Diesel anteil im Jahr 2017 um mehr als 8 Prozent in Spanien gesunken, in Deutschland um rund sieben Prozent.",B2,443,22,29.0,134.0,B2,91.45
Und beim Sohn: Der verbietet eigentlich zuletzt alle Nachforschungen.,C1,292,9,15.0,121.0,B2,62.34
Dabei haben sie kaum Kalorien; je nach Reifegrad bringen es 100 Gramm Paprika gerade einmal auf 19 bis 38 Kilokalorien.,A2,571,20,,,B2,59.64
"Und das wissen sie denn ganz genau, und da sagen sie auch: Also, bei Oma Börse kann nicht jeder tun, was er will.",B2,465,23,29.0,134.0,B2,90.43
"Den fürchtet er immer noch, deshalb möchte er nicht erkannt werden.",B2,445,11,15.0,121.0,B2,77.23
Dann sind – so Josef – selbst die Kühe still!,C1,306,10,12.0,116.0,B2,105.66
"Er sieht also kein Tageslicht, sondern arbeitet bei künstlichem Licht.",A2,735,10,,,B2,61.33
Die Steinstatue der Markgräfin steht im Naumburger Dom in Sachsen-Anhalt.,C1,286,10,21.0,125.0,B2,27.49
Und 2050 werden voraussichtlich zwei Drittel der Menschheit in großen Städten leben.,A2,675,12,,,B2,76.22
"Das heißt also, Sie trainieren eigentlich, indem Sie anspruchsvolle Dinge lesen, indem Sie anspruchsvolle Dinge kommunizieren, indem Sie diskutieren.",C1,316,19,31.0,143.0,B2,69.11
"Auch Kümmel ist ein traditionelles Gewürz, mit dem man gerne Kohlgerichte oder Bratkartoffel verfeinert.",A2,612,14,,,B2,74.19
Immer wieder kommt es zu tödlichen Unfällen.,B2,480,7,11.0,117.0,B2,89.75
"Antworten darauf haben die Profis in den Markenagenturen , wie hier in Berlin bei Metadesign.",B2,443,15,22.0,127.0,B2,74.19
"Man weiß halt wirklich, was man da sagt, und man spürt auch richtig die Wut oder was auch immer.",C1,310,19,24.0,128.0,B2,94.49
Ömür und die anderen Frauen der Kooperative stellen hier nicht irgendeinen Käse her: Ihre Spezialität ist der türkische Kars-Gravyer.,B2,486,19,31.0,141.0,B2,52.19
Die Initiative dazu ging von einer engagierten Mutter aus.,C1,297,9,11.0,116.0,B2,62.34
"Für ihn als Experten war immer klar, was eine Trüffel ist.",C1,315,11,16.0,120.0,B2,85.69
Das deutsch-amerikanische Start-up Datawallet hat dafür ein Geschäftsmodell entwickelt.,B2,470,9,16.0,124.0,B2,53.88
"Auf der anderen Seite stehen die im Abseits, die keine Arbeit haben.",C1,287,12,15.0,119.0,B2,84.68
"Anlass war das Thema Taufe, die offizielle Aufnahme in die christliche Kirche.",C1,297,12,18.0,124.0,B2,84.68
Die Geschichte des Doms zieht als Licht spektakel an den Zuschauern vorbei.,B2,474,12,17.0,125.0,B2,93.14
"Zum Beispiel ‚Not ist die Mutter der Künste‘ – also die Künstler müssen erst leiden, damit sie anständige Produkte machen.",C1,300,20,29.0,138.0,B2,69.11
"Drei Tage lang dreht sich in Bad Nauheim alles um den King of Rock ’n’ Roll: mit Autos, Mode, Musik und Tanz aus den 50er-Jahren.",B2,469,25,38.0,142.0,B2,88.4
Er schreibt den Blog „Bake to the roots“ und diese Seite wurde schon mehrfach in Deutschland prämiert .,B2,459,18,22.0,131.0,B2,96.52
Und an manchen Orten werden sogar Wettbewerbe im Suchen nach Goldmünzen organisiert.,B2,475,12,18.0,127.0,B2,50.84
Weitere sieben Prozent nutzen etwas ungewöhnliche Methoden: Sie wickeln das Papier um die Hand oder legen Blatt für Blatt aufeinander.,A2,676,20,,,B2,51.18
Der Berliner hat sich auf das Reparieren analoger Kameras spezialisiert .,B2,441,11,14.0,121.0,B2,78.25
"Bremsen und Stoßdämpfer müssen in Ordnung sein, der Abgasausstoß darf bestimmte Grenzwerte nicht überschreiten.",C1,299,14,29.0,139.0,B2,57.27
"Die Einkommensgrenze, der monatliche Verdienst, spielt keine Rolle mehr.",C1,301,9,18.0,126.0,B2,79.26
“ Takayo soll auf Wunsch eines Kunden Füße für ein altes Sofa nachdrechseln.,C1,309,13,20.0,125.0,B2,76.22
Erst nach dem Mauerfall wurde es 1989 wieder für alle zugänglich .,B2,452,12,18.0,122.0,B2,102.61
"Ich hatte schon zwei Auszubildende, die einfach von 200, 300 km weg herkamen, um diesen Ausbildungsberuf zu lernen und sind dafür dann auch umgezogen.",C1,309,24,37.0,147.0,B2,64.04
Aber dennoch hat der Autofahrer für diese Leistung gezahlt.,C1,299,9,12.0,120.0,B2,79.26
"Zur Vorbereitung sollte man mit einem Arm eine weit ausholende Bewegung machen, so als wolle man jemanden freudig begrüßen.",C1,306,19,27.0,139.0,B2,69.11
Dort werden in den Großstädten locker 42. 000 Euro hingeblättert .,B2,483,11,22.0,126.0,B2,74.86
"Für ihn ist die schönste, aber auch arbeitsreichste Zeit, wenn die weiblichen Schafe lammen .",C1,295,15,24.0,128.0,B2,65.73
Baron de Coubertin starb 1937: Während eines Spaziergangs im schweizerischen Genf blieb sein Herz stehen.,C1,288,15,28.0,139.0,B2,81.63
"Vermutlich auch deshalb, weil dort viele junge Menschen studieren oder eine Ausbildung absolvieren.",A2,596,13,,,B2,66.74
Tausende von Studenten demonstrierten 1968 für mehr Freiheit und Demokratie.,B2,460,10,16.0,126.0,B2,69.79
"In Großbritannien sind Nahrungsmittel als Design -Trend schon länger zu beobachten, aber jetzt erobern sie auch den Weihnachtsbaum.",B2,481,18,28.0,139.0,B2,53.21
"Denn im normalen Alltag haben die meisten keine Zeit und oft auch kein Geld, frische Produkte einzukaufen und in Ruhe zu kochen.",C1,315,22,28.0,135.0,B2,74.53
"Hunde haben bis zu 220 Millionen Riechzellen, fast zehnmal so viele wie Menschen.",A2,607,13,,,B2,83.66
"Wenn kalte Flüssigkeit in den Magen kommt, dann braucht der Körper Energie, um sie zu wärmen.",A2,706,16,,,B2,72.16
"Moritz – für die meisten Menschen ist das ein Ort, an dem sich die Reichen im Winter zum Skifahren treffen.",B2,461,20,26.0,129.0,B2,69.11
"in vielen Ländern der Welt ein Begriff, ein Phänomen, sei.",C1,308,10,15.0,122.0,B2,86.71
Vor allem die junge Generation hat den Angelsport für sich entdeckt und erobert damit Großstädte wie Paris und Berlin.,B2,467,19,26.0,133.0,B2,69.11
"Schon nach zwei Minuten Fahrt wurde der Elefant jedoch unruhig, zerdrückte die Wand und fiel 12 Meter tief in den Fluss!",A2,632,21,,,B2,75.54
"Der Geist gab ihnen die Kraft, jede Situation zu meistern.",C1,304,10,13.0,118.0,B2,69.79
"Da richten wir uns nach den Bedürfnissen, nach den Interessen der Nutzer.",C1,296,12,15.0,123.0,B2,84.68
"Warum es diese Stadtstaaten gibt, hat historische Gründe.",A2,662,8,,,B2,80.28
Für andere spielt der Fitness- und Gesundheitsaspekt eine größere Rolle.,C1,317,10,14.0,122.0,B2,78.25
“ Schon als Sechsjähriger begleitete Christian von Stern den Vater in die Firma.,C1,312,13,19.0,127.0,B2,76.22
"Ihnen wurde dann erklärt, dass sie ihr Kind ja in einem christlichen Kindergarten angemeldet haben, dass sie sie in diese Einrichtung gegeben haben.",C1,297,23,29.0,140.0,B2,81.97
91 % von ihnen lassen sich beim Frühstücken im Hotel Zeit und essen lieber im Hotel als außerhalb in einem Café.,A2,737,21,,,B2,68.1
Trinkwasser ohne Chemie – eine Utopie?,C1,305,6,12.0,116.0,B2,100.24
"Drei Kinder, sieben Enkel und fünf Urenkel hat sie, aber keiner möchte die Börse übernehmen.",B2,465,15,22.0,131.0,B2,98.55
"Ist Grünkohl erst einmal zubereitet, hält er sich drei bis fünf Tage im Kühlschrank.",C1,289,14,21.0,131.0,B2,82.65
"Man erkennt sie leicht, denn sie tragen ihre schwarze Berufskleidung und auch heute noch einen Zylinder.",A2,641,16,,,B2,72.16
"Na, bei dem Pflücken ist einmal ganz wichtig, dass man sie maximal drei Tage davor pflückt, kühl lagert , dass die Blüten nicht nass werden, weil dann werden sie braun, und dann halt, dass man sie relativ schnell verarbeitet.",B2,458,39,52.0,163.0,B2,58.29
"Erst beurteilt die belgische Spezialeinheit die Lage, dann dürfen auch wir näher ran.",B2,480,13,21.0,130.0,B2,83.66
"Diese Maschine – Listenpreis heutzutage zwischen 2,5 und drei Millionen Euro je nach Ausstattung.",C1,312,14,19.0,129.0,B2,49.82
"“ „Es geht sich aus“ beziehungsweise „Es geht sich nicht aus“ bedeutet also, dass etwas funktioniert, beziehungsweise nicht funktioniert.",C1,323,19,26.0,140.0,B2,70.13
"Es reicht nicht, wenn man nur in der Stadt Fahrrad gefahren ist.",B2,461,12,14.0,121.0,B2,101.6
"Die Reisenden wussten nicht, dass er in einigen Regionen nur ein Essen für arme Leute war.",A2,659,16,,,B2,80.62
"Er geht zu Patienten, die ansteckend sind und deshalb keinen Besuch bekommen dürfen.",A2,627,13,,,B2,66.74
"Zum Auftakt eines Kurses dürfen die Teilnehmerinnen und Teilnehmer zunächst auswählen, worüber sie lachen wollen: „Wir möchten jetzt von Ihnen eine kurze Einführung.",C1,303,23,31.0,146.0,B2,65.05
Und es ist ja doch eine Preisfrage.,C1,320,7,9.0,112.0,B2,89.75
"Sie glaubt, dass es sich um einen Selbstmordversuch handelt und alarmiert deshalb die Polizei.",A2,622,14,,,B2,74.19
"Sie sind größer, fester, ebenfalls mit blauer Schale, aber mit weißem Fruchtfleisch.",A2,576,12,,,B2,84.68
Es ist die Frage: Was hat der für eine Wirkung entfacht?,C1,308,11,14.0,120.0,B2,102.61
Man geht ja mit ’ner gewissen Vorstellung in dieses Hobby hinein.,B2,475,11,13.0,120.0,B2,85.69
"Oben treffen die Touristen oft nicht nur einen Türmer, sondern auch die Turmkatze, die „Wendelstein“ heißt.",A2,687,16,,,B2,72.16
Die neue Halle bietet so genügend Platz auch für größere Aufträge: „Das sind so Teakholz-Rahmen für ein Kreuzfahrtschiff.,C1,309,18,30.0,142.0,B2,87.05
"Wenn im Frühling die Natur erwacht, fühlen sich Menschen anfangs oft träge und müde.",A2,579,14,,,B2,91.11
"Kopfrechnen und Kopfschmerzen vertragen sich nicht, sagt sie.",B2,465,8,16.0,123.0,B2,71.82
"Was dann mit dem Sauerbraten passiert ist, ist nicht bekannt.",A2,726,10,,,B2,86.71
Seine Freundin hat eine intime Beziehung zu einem anderen Mann – und er weiß Bescheid.,C1,324,15,18.0,124.0,B2,91.11
"Das heißt, wer eine Sache anfängt, sollte sie auch zu Ende bringen.",A2,609,12,,,B2,93.14
"“ Wenn man jemanden um etwas bittet, macht häufig der Ton die Musik.",C1,301,13,16.0,122.0,B2,76.22
"Denn sie duftet kaum und hat einen eher unspezifischen, säuerlichen Geschmack.",B2,456,11,19.0,126.0,B2,68.77
Zum Jubiläum hat die chinesische Regierung der Stadt eine große Marx-Statue geschenkt.,B2,454,12,20.0,128.0,B2,67.76
"Er wurde zum Einsiedler, zu jemandem, der am liebsten allein ist.",C1,284,11,17.0,123.0,B2,77.23
"Ehret die Mutter, dann ist alles in Butter.",C1,300,8,11.0,116.0,B2,88.74
"Bei der Geburt ist das sehr praktisch, denn der Kopf kann so noch ganz leicht geformt werden.",A2,720,17,,,B2,88.06
"Als die Entwickler einen passenden Namen für diese Technologie suchten, erinnerten sie sich an den dänischen König Blauzahn.",A2,583,18,,,B2,70.13
"Und da gehört halt dazu, dass die Erdbeeren nicht aus Spanien, Südafrika oder sonst woher kommen.",C1,315,16,23.0,128.0,B2,80.62
"Diese Härchen sorgen dafür, dass die Beine weniger direkten Kontakt zum Spinnennetz haben.",A2,626,13,,,B2,66.74
"Auf seiner Brust hat er ein Tablet, und Patienten können mit Hilfe dieses Bildschirms mit ihren Angehörigen und Ärzten kommunizieren.",A2,627,20,,,B2,59.64
Ab den 1920er-Jahren erobert das elektrische Licht den Markt.,C1,283,9,17.0,122.0,B2,87.72
"Und deswegen gehen nicht nur Einheimische, sondern auch viele Besucher in Tracht auf die Wiesn .",C1,320,16,21.0,128.0,B2,64.71
Aber die Einnahmen decken die Kosten und irgendwie geht es ja auch um mehr in der Börse: um die Gemeinschaft.,B2,465,20,25.0,135.0,B2,76.56
"Dahinter steht eine lange Geschichte, die mit Schweizer Käse begann.",B2,486,10,15.0,121.0,B2,78.25
"Die haben kein Bewusstsein , aber das einzige, was sie empfinden, ist Temperatur, Luftfeuchtigkeit , die Nährstoffe in den Futtertieren , was die [die sie] fressen zum Beispiel.",B2,457,28,44.0,155.0,B2,71.48
"Die meisten denken, dass die Wahrscheinlichkeit bei etwa ein bis fünf Prozent liegt.",A2,673,13,,,B2,92.12
Nicht mal 1. 000 Wölfe – den meisten Jägern ist das noch zu viel.,B2,440,14,22.0,127.0,B2,107.18
Sie haben auch neun Gehirne: ein zentrales Gehirn im Kopf und in jedem Arm ein Extrahirn.,A2,588,16,,,B2,80.62
Seine Mitglieder bestehen aus Tausenden von Industrieunternehmen und -verbänden.,C1,299,9,15.0,124.0,B2,36.96
Doch typisch deutsch backt er nicht.,B2,459,6,8.0,113.0,B2,99.23
"Dass der Wiener Walzer so beliebt ist, hat verschiedene Gründe.",B2,477,10,13.0,120.0,B2,86.71
"Sie servieren Speisen wie zum Beispiel Kiachl , eine gebackene Tiroler Spezialität, die man deftig oder süß genießen kann.",B2,476,19,30.0,138.0,B2,78.59
"Man kann die auch mit viel Fett versetzen, aber wir nehmen lieber ’ne fleischigere.",C1,289,14,20.0,127.0,B2,91.11
"Also, das, was man dadurch erreichen möchte, ist natürlich, dass die Blüte auf der einen Seite haltbarer ist.",B2,456,18,25.0,132.0,B2,78.59
"Der Vogel mit den langen Beinen blickt mal nach links, mal nach rechts und lässt sich von niemandem stören.",A2,748,19,,,B2,86.03
Der Panda ist eigentlich eine Fehlkonstruktion.,A2,647,6,,,B2,73.85
"Zum Glück behalten die Strandbesucher ihre Kekse und anderen Proviant für sich, denn diese Dinge sind nicht gut für Störche.",A2,748,20,,,B2,76.56
So kann man die gekauften Produkte in der Regel nicht umtauschen und zu manchen Verkaufsstätten muss man weit fahren.,C1,301,19,25.0,135.0,B2,77.57
"Die Pracht des Gebäudes, seine Höhe und die Figuren an den Säulen , das ist wirklich spektakulär .",B2,452,18,24.0,133.0,B2,89.08
"‘ Also zusätzlich zu den klassischen ‚W-Fragen‘ – ‚Wer, Wie, Wo, Wann‘ und so weiter – immer auch dieses ‚Wie kann es weitergehen?",C1,290,23,35.0,145.0,B2,59.64
Auch Goethe hat zur Reiseliteratur beigetragen.,C1,313,6,11.0,118.0,B2,56.93
Im Vergleich zu seinen vielen Namen hat dieses Wurzelgemüse nur sehr wenige Kalorien.,A2,685,13,,,B2,66.74
Beim Autokauf spielt das Umweltbewusstsein ohnehin kaum eine Rolle .,B2,443,10,14.0,126.0,B2,62.34
"Deshalb hat er wohl auch den Lehrer Lämpel, eine Figur bei Max und Moritz, erfunden.",C1,284,15,23.0,131.0,B2,81.63
"Das meiste Leitungswasser, ungefähr 46 Liter, wird fürs Baden, Duschen und für die tägliche Körperpflege verwendet.",A2,643,16,,,B2,80.62
"Und… Meine Aufgabe war es, so ein Re-Design für so ein Opernmagazin zu machen, und der Kreativdirektor sah sich mein Ergebnis an und meinte, es wäre leider überhaupt kein Stück besser als das ursprüngliche Heft und so bin ich dann gegangen.",B2,442,41,56.0,173.0,B2,55.24
"Doch dann kam Pfingsten, der Tag, an dem sich alles änderte.",C1,304,11,17.0,122.0,B2,77.23
"Als die Seniorin das ablehnte, weigerten sich die beiden Frauen, die Wohnung zu verlassen.",A2,661,14,,,B2,74.19
In der Nordsee dagegen sind hauptsächlich die Schifffahrt und die Fischerei für den Plastikabfall verantwortlich.,A2,636,15,,,B2,39.33
Er meint: Investoren brauchen gesetzliche Schranken .,B2,464,7,11.0,118.0,B2,73.85
"Nannten sie eine möglichst hohe Zahl, dann bekamen sie mehr Geld.",A2,674,11,,,B2,85.69
"Sie lernen erstaunlich schnell und können sogar Gläser aufschrauben, wenn sie der Inhalt interessiert.",A2,588,14,,,B2,57.27
"Mit unseren persönlichen Daten, die wir online hinterlassen, machen Firmen Gewinn, indem sie sie verkaufen.",B2,470,15,20.0,128.0,B2,56.25
Und da haben die Schüler ihren Lehrern – so Christian – einiges voraus.,C1,307,13,15.0,122.0,B2,94.15
Die Angst vor diesem Unglücksdatum ist relativ jung.,A2,621,8,,,B2,71.82
Überraschenderweise ist das Interesse an Spiele-Apps und Online-Spielen in dieser Altersgruppe noch gering.,A2,654,13,,,B2,41.36
In einer Sekunde schaffen sie fast acht Silben und die Deutschen nur sechs.,A2,682,13,,,B2,92.12
"Wenn man nicht in der Stadt ist, kann man keine Impulskäufe machen.",B2,449,12,17.0,121.0,B2,93.14
"Die müssen gemacht werden, aber ich trau mich auch nicht zu sagen, weil dann heißt es: Ach ja, schön, dann können wir ja gleich loslegen .",B2,464,26,33.0,137.0,B2,79.94
"Hilfreich ist dann, seine Gedanken und Gefühle mit den Partnern zu teilen, sie offen anzusprechen.",C1,324,15,23.0,133.0,B2,73.17
"Der geheimnisvolle König fasziniert bis heute nicht nur die Deutschen, sondern auch viele Touristen.",C1,308,14,21.0,130.0,B2,99.57
"Fährt jemand trotzdem mit seinem E-Scooter auf einem Gehweg, muss er Strafe bezahlen.",A2,646,13,,,B2,83.66
Als zweiter Nachteil kommen die langen Transportwege hinzu.,C1,291,8,12.0,118.0,B2,71.82
"“ Diese Bücher können ausgeliehen werden, werden aber irgendwann, wenn sie zerlesen sind, aussortiert und nicht archiviert.",C1,296,17,26.0,135.0,B2,55.24
"Um das zu erfahren sind die meisten extra angereist: vom Tegernsee, aus Bonn, Hamburg und Berlin.",C1,303,16,24.0,129.0,B2,72.16
Seit vier Uhr in der Früh steht der Schäfer zusammen mit einer Auszubildenden und seinem Sohn im Stall und kümmert sich um die Neugeborenen.,C1,295,24,33.0,143.0,B2,64.04
Mir läuft im Fell der Schweiß in Strömen .,B2,484,9,12.0,117.0,B2,105.66
"Und notwendig für einen qualitativ guten Film ist vor allem, Regeln und Strukturenzu beachten.",C1,307,14,19.0,129.0,B2,74.19
"Sicherlich gibt es sie, die belastenden und schlimmen Ereignisse weltweit.",C1,290,10,17.0,124.0,B2,69.79
So harmonieren Käse und Wein aus der gleichen Region gut miteinander.,C1,322,11,14.0,122.0,B2,77.23
"Denn, kommt etwas lockerer aus Leuten raus, wird etwas humorvoll gesagt, werde manche Kritik nicht unbedingt als Kritik verstanden: „Wie war deine Frage?",C1,303,23,31.0,147.0,B2,56.59
"Theater als Lebensschule Einmal eine andere Person sein, in eine andere Rolle schlüpfen: Das Niederrhein-Theater in Brüggen nahe Düsseldorf ermöglicht das interessierten Jugendlichen.",C1,310,23,39.0,151.0,B2,39.67
Aber der Heilige Geist bewirkte nicht nur das.,C1,304,8,12.0,118.0,B2,88.74
"Man kriegt ’ne gewisse Wertschätzung zurück, die allerdings keine richtige Wertschätzung ist.",B2,468,12,20.0,130.0,B2,101.6
“ Hauptbestandteil des Gerichts ist der Kopf eines Kalbs oder Schweins.,C1,319,11,17.0,123.0,B2,103.63
"Teilautonom, also nicht mehr von Menschen gesteuerte Maschinen.",C1,318,8,13.0,120.0,B2,63.36
"Je nach Sorte kann Grünkohl eine Höhe von 1,40 bis zwei Meter erreichen.",C1,289,13,19.0,125.0,B2,92.12
Dadurch kann das Blatt nicht mehr mit Wasser und Nährstoffen versorgt werden und fällt ab.,A2,645,15,,,B2,81.63
"Diese müssen in ein Stahlseil am Felsen eingehängt werden, das zur Sicherung dient.",C1,321,13,21.0,127.0,B2,83.66
"Bei dem Kurzfilm, den die AG erstellt, ist Teamarbeit gefragt.",C1,307,10,15.0,122.0,B2,78.25
"Es steht an gefährlichen Kreuzungen oder Einmündungen, an denen leicht Unfälle passieren können.",A2,638,13,,,B2,49.82
"Übrigens, Frühjahrsmüdigkeit ist eher ein Problem für Erwachsene als für Kinder.",A2,579,11,,,B2,77.23
"Damit das einfacher möglich ist, regen die IJB-Verantwortlichen Übersetzungen an.",C1,296,10,18.0,126.0,B2,35.95
"Es geschieht etwas, was dazu führt, dass man sich selbstsicher und gut fühlt.",C1,301,13,19.0,125.0,B2,83.66
"Der kleine Inselstaat versucht, mit dieser originellen Marketing-Idee etwas bekannter zu werden.",A2,741,12,,,B2,50.84
"Dürfen Sie sich aussuchen, ob sie ‘ne Vorliebe nehmen oder ‘ne Macke, weil ich bin so hektisch, dass schon Buddha angerufen hat, gesagt hat: ‚Mach mal langsam!",C1,303,27,44.0,152.0,B2,77.91
"In Teilen von Bayern und in Österreich gibt es in der Adventszeit ganz besondere Gestalten: die Krampusse, die durch die Straßen der Dörfer ziehen.",B2,484,24,34.0,142.0,B2,72.5
"Der Wunsch zu schummeln, das heißt ein bisschen zu tricksen, war also groß.",A2,674,13,,,B2,75.2
"Die leben auf dem Meeresboden, graben sich ein und können sich über ihre Pigmente , also diese Punkte, ein bisschen dunkler färben .",B2,471,23,31.0,139.0,B2,67.08
"Und das „tēr“ ist eigentlich häufig gebraucht für Verwandtschaftsbeziehungen, also Schwester, Vater, Tochter.",C1,300,13,25.0,138.0,B2,66.74
"Es geht darum, ein luxuriöses Zuhause zu schaffen, mit kräftigen Farben, schönen Oberflächen , Metallelementen und Glas.",B2,481,17,28.0,141.0,B2,46.78
Ein Berner Unternehmen will damit das Thema Tod und Sterben enttabuisieren.,C1,293,11,17.0,120.0,B2,68.77
So entstehen Fotografien mit herausragender Qualität.,B2,451,6,10.0,116.0,B2,14.63
"Ziel dabei ist es, eine Kugel mit möglichst wenigen Würfen über eine festgelegte Strecke zu werfen.",C1,289,16,23.0,134.0,B2,80.62
"Man sieht das ja omnipräsent im Fernsehen, dass irgendwelche Köche irgendwas Besonderes kochen, und jeden Abend werden irgendwelche exotischen Sachen aus ‘n Schubladen geholt, damit auch die Sendungen nicht langweilig werden.",C1,315,31,50.0,161.0,B2,48.47
"„Faul sein ist wunderschön, / Denn die Arbeit hat noch Zeit / Wenn die Sonne scheint und die Blumen blüh’n / Ist die Welt so schön und weit.",C1,287,28,35.0,143.0,B2,79.94
"Also, die Eroberung eines Berges zu Fuß ist schon [etwas] ganz anderes, als wie wenn man es mit der Seilbahn erobert.",C1,306,21,35.0,140.0,B2,75.54
"Unter seinen Kunden: viele jüngere Menschen, die nur noch mit digitalen Bildern aufgewachsen sind.",B2,441,14,20.0,128.0,B2,65.73
"Christian von Stern selbst wurde kein Drucker, sondern studierte Wirtschafts- und Kommunikationswissenschaften.",C1,312,12,19.0,127.0,B2,42.38
Statistisch gesehen gehen etwa 500. 000 Verletzungen jährlich auf ihr Konto.,C1,317,11,17.0,127.0,B2,65.89
Pi mal Daumen ist eine lustige Redewendung und nicht ganz ernst gemeint.,A2,629,12,,,B2,84.68
"Man sollte sich also einfach darüber freuen, dass dieser Vogel so schön aussieht und ihn am besten in Frieden lassen.",A2,748,20,,,B2,85.02
Experten haben das auf Deutschland übertragen und kommen auf ähnliche Zahlen.,C1,318,11,13.0,121.0,B2,68.77
"Sauerstoff und Nahrung bekommt es aus dem Körper der Mutter, und zwar durch die sogenannte Nabelschnur.",A2,703,16,,,B2,72.16
"Plattformen haben, so Oliver Suchy, nur ihre Allgemeinen Geschäftsbedingungen.",C1,318,9,16.0,126.0,B2,28.5
"Wenn jetzt eine Mücke einen Elefanten stechen will, dann hat sie wirklich ein Problem.",A2,715,14,,,B2,74.19
Denn es hat eine auffällige Maserung und besondere Färbung.,C1,309,9,15.0,123.0,B2,79.26
"Und hier gibt’s halt große Unterschiede zwischen dem deutschen, dem schweizerischen und dem österreichischen Deutsch.",C1,323,15,21.0,128.0,B2,64.71
"Die Kinder – und auch Jugendliche –, die hatten einen richtig großen Hunger auf Bücher, und zwar nicht Bücher, die sie schon kannten, sondern auch Bücher aus dem Ausland.",C1,296,29,34.0,143.0,B2,69.45
Der Mythos der Bayern ist eine Schöpfung von Menschen.,B2,453,9,13.0,117.0,B2,87.72
Auch Cuan Acar musste einiges in Kauf nehmen.,B2,479,8,11.0,117.0,B2,114.12
Deshalb geben sie die meisten Kastanien an Tierparks in Deutschland und Österreich weiter.,A2,733,13,,,B2,58.28
"Viele Menschen haben Angst, ihr Zuhause zu verlieren, weil sie die Miete nicht mehr zahlen können.",B2,464,16,20.0,130.0,B2,80.62
"Ihr Käse ist nicht nur im eigenen Land beliebt und bekannt, sondern wird bereits bis nach Hongkong verkauft.",B2,485,18,22.0,131.0,B2,78.59
"Seit die Katze auf dem Turm lebt, gibt es weniger Tauben, die Treppen und Fenstersimse schmutzig machen.",A2,687,17,,,B2,88.06
Sie beginnt sich mit ihren dreidimensionalen Grafiken bei Magazinen zu bewerben.,B2,442,11,19.0,124.0,B2,26.47
"So erreicht man auch die Jugendlichen, die die Kaugummis einfach ausspucken.",B2,462,11,18.0,123.0,B2,60.31
"Das Besondere: Viele Autos, die dort abgegeben werden, könnten eigentlich noch ohne Probleme gefahren werden.",B2,463,15,21.0,129.0,B2,73.17
"Der hat gesagt, er würde nie einen bayerischen Bergführer mitnehmen, weil die Heimweh bekommen.",B2,453,14,23.0,129.0,B2,91.11
Für viele bekannte Comiczeichner ist Busch bis heute eine Inspiration.,C1,284,10,13.0,118.0,B2,52.87
"Es wurde sogar eine Theorie angewandt, die Miasma-Theorie.",C1,325,8,15.0,121.0,B2,21.06
"Seit 2010 ist die Abgasuntersuchung, kurz AU, fester Bestandteil der Hauptuntersuchung.",C1,299,11,24.0,132.0,B2,43.39
Sie kommunizieren allerdings inzwischen viel häufiger auf digitale Weise.,A2,640,9,,,B2,36.96
"Denn vielleicht möchte der Gast nicht, dass andere von seinem Hotelaufenthalt wissen.",A2,617,12,,,B2,76.22
"Ziel ist, dass sie sich irgendwann selbst kontrollieren können.",C1,285,9,13.0,119.0,B2,53.88
"Im ersten Duden 1880 standen 27. 000 Stichwörter, heute sind es bereits 145. 000. Ungefähr alle fünf Jahre wird der Duden aktualisiert.",A2,690,22,,,B2,80.99
"Wer sich bei Partnerbörsen oder Online- Foren anmeldet, gibt seine Einstellungen preis.",B2,470,12,19.0,127.0,B2,59.3
Über 200 Tonnen Kriegsmunition bergen sie jedes Jahr.,B2,480,8,13.0,120.0,B2,80.28
"Wenn man nun viel davon trinkt, holt sich das Schneewasser die Mineralien aus dem Körper.",A2,749,15,,,B2,73.17
Weiße Kleidung kann man außerdem problemlos bei hohen Temperaturen waschen.,A2,618,10,,,B2,44.41
Ein Merkmal für Risiko- oder Extremsportler ist nach Erfahrungen des Schweizer Sportpsychiaters Dr.,C1,317,13,23.0,130.0,B2,58.28
"Dort steht unter anderem, was ein Fahrzeug zu einem Fahrzeug macht, das auch in Deutschland fahren darf.",C1,299,17,21.0,128.0,B2,88.06
"Das heißt, eine einzelne Firma verdient an jedem Nutzer hunderte bis tausende Dollar pro Jahr.",B2,470,15,19.0,129.0,B2,73.17
In vielen Gasthöfen im Tal treffen Touristen und Traditionen aufeinander .,B2,453,11,17.0,121.0,B2,35.95
