sentence,difficulty,sentence_length
"Doch die kehrten nicht zurück in Gebiete, aus denen der Krach verschwunden war.",B2,13
Auch als Choreografin ist Biggi Fahnenschreiber noch aktiv.,B2,8
"Ein Glück für die Forschenden: Anders als auf dem Land wurde der Boden im Wattenmeer über Jahrhunderte nicht verändert, die Funde sind daher besonders gut erhalten.",B2,26
"Nach der Wanderung durch den Urwald stellte sich heraus, dass auch ein Kreuzband gerissen war.",B2,15
Sie finden den 74 Jahre alten Charles das ideale Staatsoberhaupt.,B2,10
"Wenn ich grad Geld hab’ und zu müde bin, mir selbst was zu machen.",B2,14
Bäume und Wälder sehen nicht nur schön aus – sie haben auch entscheidend zur Entwicklung der Menschheit beigetragen.,B2,18
"2023 wurde dann der Umriss der Kirche entdeckt, außerdem Wohnhügel, ein Deich , Entwässerung ssysteme und ein Hafen.",B2,18
"Eine Operation half nicht mehr, Sophie Hauenherm kann ihre Beine seitdem nicht mehr richtig bewegen.",B2,15
Dann nimmt Tuncay auf dem Friedhof Abschied von seiner Mutter.,B2,10
"Davon profitiert unser Fundus , dass alles immer wieder zum Einsatz kommt .",B2,13
"Als Kapitän oder Kapitänin tage- oder wochenlang auf einem Schiff zu fahren, ist für viele nicht mehr attraktiv.",B2,18
Aksungur ist Vorsitzender der Bauingenieurs kammer der Hafenstadt Adana.,B2,9
Auch die Einnahmen aus dem Buchverkauf sollen in das Projekt zum Schutz des Regenwalds fließen.,B2,15
"Der Vater ist ein Deutschnationaler, der Sohn wird ein Radikaler.",B2,10
"Diversität ist uns extrem wichtig, sie ist Teil unserer Unternehmenskultur.",B2,10
Das muss nun auch zu seiner Freiheit gehören.,B2,8
"Lange konnten sich Berufstätige Einfamilienhäuser wie diese leisten, aber die sind knapp.",B2,12
"In den darf dann jeder reingreifen, und keiner weiß, von wem das Geschenk gepackt worden ist.",B2,16
Das zumindest ist die Theorie des Germanistikprofessors.,B2,7
Sie wollen von den Behörden gleichberechtigt werden.,B2,7
"Harmlosigkeit als rechtsextreme Strategie Sie produzieren lustige Videos, nutzen die sozialen Medien und sind auf Dorffesten präsent: Rechtsextreme versuchen mit Absicht, die Menschen dort zu erreichen, wo sie sich zu Hause fühlen und nicht an Politik denken.",B2,37
Er steht seit zwei Wochen in der Kantine eines Büro komplexes in Berlin.,B2,13
"Für die Sämigkeit und den Geschmack ist Hildburg Abel besonders wichtig: „Dass eben halt wir gute Hafergrütze haben, dass wir einen guten Wurst fond schon mal haben, und eben halt ’n schönen Senf, Zwiebeln und ein bisschen Piment – und das war’s dann schon.",B2,44
"Das ist so das Einzige, was man wirklich weiß – und kinderlos war und dass mein Mann Ekkehard II.",B2,19
Das ist unsere Forschungs- und Entwicklungswerkstatt.,B2,6
Weltbekannt wurde die Firma aber erst nach der Übernahme durch Javier Toledo im Jahr 2013. Unter seiner Führung wuchs die Anzahl der Mitarbeitenden von zehn auf mehr als 250 an.,B2,30
"Und wer von Nepal aus auf den Gipfel klettern will, muss ab jetzt spezielle Kot beutel verwenden.",B2,17
“ Im Religionsunterricht funktioniert das Sprachenlernen besonders gut mit einem Gebet : Güven beginnt daher jede Stunde mit einem Vaterunser auf Aramäisch.,B2,22
Bei „Drugchecking Berlin“ können Konsumierende ihre Drogen testen und sich beraten lassen – kostenlos und anonym .,B2,17
"Manche Betroffene begehen Selbstmord, Suizid.",B2,5
"Und dann fällt das Frühstück erst mal aus, weil, man muss warten, bis die Damen fertig sind.",B2,17
Das Chaos nahm seinen Anfang vor über 30 Jahren kurz nach der deutschen Wiedervereinigung .,B2,15
Auf dem bunten Glasfenster sind Darstellungen aus dem Leben von Jesus zu sehen.,B2,13
"Aber der Mensch passt ja nur auf, nachdem er sich den Kopf gestoßen hat.",B2,14
"Es gibt keinen Schnickschnack, nichts Überflüssiges.",B2,6
Vor 100 Jahren schlossen beide Länder einen Freundschaftsvertrag ab.,B2,9
"Hier ist der Ramadan Teil des öffentlichen Lebens und betrifft daher auch Nicht-Muslime – ähnlich, wie Weihnachten in Europa auch Nicht-Christen betrifft.",B2,22
"Die Idee stammt von dem Berliner Startup Aitme, das etwas gegen den Fachkräftemangel in der Gastronomie tun wollte.",B2,18
Ich zwänge mich auch nicht unten durch .,B2,8
Der Abszess hat einen Nervenschaden verursacht.,B2,6
"Das würde auch solche Betonwüsten verhindern, mit komplett versiegelten Flächen.",B2,10
"Und er wurde in sechs Monaten von den Behörden genehmigt, Rekordzeit vermutlich.",B2,12
"Auch bei der Kiesgewinnung, dem zweiten Beton bestandteil , sieht es so aus.",B2,13
"2008 kam ich das erste Mal nach Deutschland, um mein Masterstudium abzuschließen, und ich wurde auch für das Erasmus-Mundus-Space-Masterprogramm ausgewählt.",B2,20
Der Hamburger Fischmarkt ist berühmt für seine Marktschreierinnen und Marktschreier.,B2,10
"Und sozusagen das hier zu finden, war eher so ’n Thema, ich bin halt ‘n Stadtmensch und leb halt gerne in der Stadt, und das Problem, was so bisher war, dass es bisher keine Projekte in der Stadt gab.",B2,39
Gegen eine Gebühr lagert er auch private Texte und Bilder von jedermann ein – Berichte aus dem Covid-Lockdown zum Beispiel.,B2,20
Inzwischen ist zwar eine Mehrheit der Menschen für ein allgemeines Tempolimit auf Autobahnen.,B2,13
"Nun erinnert sie sich an die Worte ihres Vaters: „Wenn du dich im Urwald verläufst, und du findest einen Wasserlauf, dann bleibe bei ihm.",B2,24
"Warum kommen sie nicht mal vorbei, um zu sagen, dass ich toll geparkt habe, oder um so einen Dankeschön-Zettel oder eine Blume mit einem Teddybären an der Windschutzscheibe anzubringen?",B2,29
Das Feuer in Paris zerstörte vor allem das bleierne Dach und den hölzernen Dachstuhl .,B2,15
"Damit sie funktioniert, muss dreierlei passieren: Erstens müssen die bewertenden Schüler anonym bleiben.",B2,13
Denn vor allem in den Großstädten erscheint Licht als Schmutz.,B2,10
So soll der Originalzustand der Fenster wiederhergestellt werden.,B2,8
"“ Gewohnheiten sind die halbe Miete, sind zur Hälfte für etwas mitverantwortlich.",B2,12
Das Bierpulver ist noch nicht auf dem Markt.,B2,8
Werden Künstlerinnen und Künstler bald nicht mehr gebraucht?,B2,8
Doch ohne sie würde sich die Erde noch viel schneller erwärmen.,B2,11
Einige seiner Techniken stellen das Team vor besondere Herausforderungen .,B2,10
"Der Markt hat gerade erst aufgemacht, und um 5 Uhr morgens wimmelt es von Menschen.",B2,15
"Aus Brot lässt sich sogar Bier brauen – eine uralte Idee, die nun zum Nachhaltigkeitstrend wird.",B2,16
"Die alte Stadt ist noch immer ein vielstimmiges Kunstwerk, das aber meist ganz von der Vergangenheit erzählt.",B2,17
Sie lassen sich mit Fahrrädern kombinieren oder sogar zu Fuß ziehen.,B2,11
Das können bloße Risse im Putz sein.,B2,7
Braucht Deutschland eine Zuckersteuer?,B2,4
"Ich möchte die Leute ermutigen, etwas zu wagen , voranzugehen und ihr Ding zu machen .",B2,16
Heute ist das Verhältnis zwischen Deutschland und der Türkei schwierig.,B2,10
"Das heißt, er hat die Saat der Anarchie und der Unruhe damit gesät.",C1,13
"Es soll, so deuten es Kirchenhistoriker, den Mensch gewordenen Sohn Gottes charakterisieren – mit all seinem Leid und seinem Schmerz.",C1,20
"“ Max und Moritz zu bekehren, sie dazu zu bringen, sich brav zu verhalten, war nicht möglich.",C1,17
"Das dürfte mit ein Grund dafür gewesen sein, warum er das gesamte Bildungsbürgertum, jegliches Schulwissen und die Wissenschaft hasste.",C1,19
"“ Denn, so Sandgruber: „Es ist also eigentlich fatal , wie Autodidakten – und gerade Autodidakten sozusagen mit Halbbildung – dann besonders stark auf dem verharren, was sie sich einmal angeeignet haben, und eigentlich keine Expertise von Fachleuten mehr anerkennen wollen.",C1,41
"Es geht so weit, dass gefälschte Videos bei YouTube eingestellt werden, die Kollegen auf das Übelste beleidigen und in den Dreck ziehen.",C1,22
"Doch, so stellte damals Professor Hans Künschner von der ortsansässigen Technischen Hochschule bedauernd fest: „Es sind Prototypen entstanden, die sich bewährt haben.",C1,22
"Und Müßiggang, also das Nichtstun, sowie Müßiggänger waren nicht sehr angesehen, sagt Eberhard Straub: „Der Müßiggang hat ja eigentlich immer einen schlechten Ruf gehabt.",C1,24
"Jegliche Lust und Freude am Essen geht verloren, ein Hungergefühl wird nicht mehr wahrgenommen.",C1,14
"Eine davon ist der „Bümmersteder Krug“, ein Traditionsgasthaus, das in vierter Generation von der Familie Abel geführt wird.",C1,18
"Gleichzeitig muss man sagen, dass die wirtschaftlichen Einschränkungen , die wir hier sehen, immer noch viel geringer sind als das, womit die russische Bevölkerung umgehen muss.",C1,26
"Auch hier wird eher Tiefkühlware aus Ländern wie Neuseeland und Australien importiert, die dann – je nach Qualität – für teures Geld im Supermarkt zu kaufen ist.",C1,27
"Am ehesten sind Mädchen aus bestimmten Gesellschaftsschichten betroffen, wie Katrin Imbierowicz erläutert: „Wenn man das so auf Stereotype festlegen wollte, dann könnte man schon sagen, – also, wenn wir jetzt über die Magersucht sprechen –, dass das eher junge Mädchen sind, die aus höheren Bildungsschichten kommen, wo Leistungsorientierung ‘n hohen Stellenwert hat in der Familie.",C1,55
"Wir müssen mittelfristig realitätsnäher denken, also mehrere Endgeräte pro Schüler.",C1,10
"Rauchende leiden nämlich nachts unter Entzugserscheinungen, die sich in einem unruhigen Schlaf äußern.",C1,13
"Das hat nicht nur etwas mit den Medien, sondern auch mit unserem Gehirn zu tun.",C1,15
"Die antike Welt hatte eine klare Vorstellung von Arbeit und von Muße: Arbeit war Sache der Sklaven und der Frauen, die Muße hingegen war allein den freien Männern vorbehalten, weiß der Historiker und Publizist Eberhard Straub: „Natürlich muss der Mensch ja das Recht haben, sich mal auf die faule Haut zu legen.",C1,52
"Im Fokus : Vegetation in ruhigen Regionen, in Gebieten, aus denen die Lärm quellen wieder entfernt wurden, und in solchen, die schon vor Studien beginn Dauerlärm durch Erdgasbohrung ausgesetzt waren .",C1,31
"Der italienische Schriftsteller Umberto Eco offenbarte einmal, er wäre gerne mit ihr ausgegangen.",C1,13
"„Und [ich] habe mich dann durch Fleiß, Lernen – und ich kann sagen – durch Hungern langsam emporgearbeitet.",C1,18
"Und dabei haben sie etwas festgestellt, wie Andreas Hänel erläutert: „Wir haben aber auch eben indirekte Untersuchungen gemacht, indem wir zum Beispiel eben den Stromverbrauch für Licht analysiert haben.",C1,29
"Ich hab’ gesagt, für mich, für das Leben, was ich mir ausgesucht habe, kommt es nicht in Frage, dass ich nie wieder werde laufen können, geschweige denn nie wieder tanzen kann.",C1,31
"Das sehen Historiker wie Manfred Lämmer jedoch anders: „Coubertin war natürlich nicht nur Kosmopolit, er war nicht nur ein Internationalist, so wie wir ihn heute sehen.",C1,26
Die alten Schätzchen werden aufgemöbelt und dann neu zugelassen.,C1,9
"Salto -Hochwurf, Écarté -Hochwurf – ich habe versucht, meine Tanzfreude, fast Besessenheit , in den Kölner Karnevalstanz hineinzubringen.",C1,18
"Seitdem er selbst zum Islam übergetreten ist, reist er durch ganz Europa auf der Suche nach Gotteshäusern, um sie zu fotografieren.",C1,21
Ekkehard und sein Bruder gelten als Stifter des heute noch erhaltenen Kirchenbaus.,C1,12
"Anders als in der Schweiz ist es in Deutschland üblich, dass der Sarg bei der Trauerfeier, die vor der Beisetzung stattfindet, mit im Raum steht.",C1,25
"Krankhafte Essstörungen: Magersucht und Bulimie Die einen hungern, die anderen essen unkontrolliert und erbrechen das Gegessene wieder.",C1,17
"Oder eine Doktorarbeit eines pakistanischen Altertumsforschers , der sich nicht auf digitale Clouds und Server verlassen will.",C1,17
Denn mit negativen Schlagzeilen lassen sich mehr Klicks generieren und Nutzendenzahlen steigern.,C1,12
"Wer er war, konnte jedoch auch die Ausstellung nicht klären.",C1,10
"Wer sich nicht daran hält, wird von ihnen verurteilt.",C1,9
"Bloß die Leute, die heutzutage arbeitslos sind, sind ja in der Regel keine Faulpelze, sondern ihnen wurde die Arbeit entzogen.",C1,20
"Wer den festen Willen hat, mit dem Rauchen komplett aufzuhören, sollte sich, so Tobias Rüther, ein Ziel vorstellen: „[Das ist], wie wenn ein 1000-Meter-Läufer läuft, dann stellt er sich ja das vor, wie er auf diesem Treppchen sitzt.",C1,38
"Insbesondere geht‘s ja hier ums Upcycling , das heißt, in einer sehr hohen Qualität wollen wir Design bespielen .",C1,19
Aber im Herbst 1989 nach der Öffnung der innerdeutschen Grenze fuhr ein ganzes Volk mit den Plastebombern in die Freiheit.,C1,20
“ Der Franzose dachte ganz traditionell: Sport allgemein – wie zum Beispiel Turnen und Rugby – war nur etwas für Männer.,C1,21
"Doch wie lange wird der Westen seine Sanktionspolitik durchhalten , zumal er auch die Ukraine für Jahre mit Milliarden Euro und Dollar am Leben erhalten muss?",C1,26
"Es ist kurz vor Ostern, das für die Christen neben Weihnachten wichtigste religiöse Fest.",C1,14
"Und wenn sich dann diese scheinbar suggerierten Erfolge nicht einstellen , dann sinkt natürlich auch die Bereitschaft in der Bevölkerung, den Preis für diese Sanktionen zu zahlen.",C1,27
"Das war im Jahr 1949. Seitdem ist der Bestand der Internationalen Jugendbibliothek (IJB) um mehr als das 80-Fache gewachsen, die Bibliothek untergebracht im idyllisch gelegenen Schloss Blutenburg an der Peripherie der bayerischen Landeshauptstadt.",C1,33
Dann hätte bestimmt auch der Beruf des Schäfers wieder eine Zukunft.,C1,11
"“ Großstädte sind so hell beleuchtet, dass es aus einiger Entfernung so aussieht, als ob sie unter einer Lichterglocke liegen, rundherum von Licht umgeben sind.",C1,25
"“ So tuckerte der Trabi millionenfach über die schlechten Straßen der DDR, eine blaue, stinkende Abgasfahne hinter sich herziehend.",C1,19
"Zunächst haben sie Erfolg, verlieren aber dann das Gefühl für Körper, Gewicht und Hunger.",C1,14
"Er verachtet die Generäle, er verachtet die Juristen, er verachtet die Lehrer insbesondere und sieht sich selbst als Genie.",C1,19
"Daher unterliegen alle diejenigen einer Illusion, die meinen, in emotional aufwühlenden Situationen helfe eine Zigarette zur Beruhigung.",C1,17
Außerdem nahmen auch an den antiken Spielen in Griechenland keine Frauen teil.,C1,12
"Genauso sieht es auch Gyan Härri: „Ganz, ganz selten werden wir wirklich mit unserem eigenen Tod konfrontiert .",C1,18
Adolf kam erst danach auf die Welt und breitete über diese Geschichte den Mantel des Schweigens aus .,C1,18
"Doch nur ein Zehntel davon wird in den Ländern verdient, in denen der Kaffee angebaut wird – in Süd- und Mittelamerika, Asien und Afrika.",C1,24
"Heutzutage ist das Wort nicht mehr sehr gebräuchlich, genauso wenig wie Pläsier, was so viel wie Vergnügen bedeutet.",C1,18
‘ Und diese Bücher sollten Friedensboten sein.,C1,7
"Im Jahr 2011 beschäftigte sich eine große Ausstellung in und um Naumburg mit diesen Veränderungen in der Religiosität und mit dem Einfluss, den der unbekannte Naumburger Meister auf die deutsche Kirchenarchitektur hatte.",C1,32
"Entsprechend reagiert er, wenn jemand zu ihm kommt und sagt: „‚Ich hab’s schon fünfmal probiert, ich schaff’s einfach nicht‘, dann sage ich: ‚Wow, es scheint Ihnen sehr wichtig zu sein!",C1,30
"Die Tatsache, dass dann doch Frauen zu den Spielen zugelassen wurden, dass die Spiele für sie geöffnet wurden wie eine geschlossene Tür, soll – so Manfred Lämmer – ein Grund für seinen Rücktritt als langjähriger IOC-Präsident im Jahr 1925 gewesen sein.",C1,41
Jetzt hab’ ich mich mal drauf eingelassen .,C1,8
Gleichzeitig schätzten sie aber Zeiten des Nichtstuns.,C1,7
"Denn wenn der Bestatter Gyan Härri mit diesem ganz besonderen Velo – so werden Fahrräder in der Schweiz genannt – auf den Straßen von Bern unterwegs ist, dann fällt das auf.",C1,31
"Rauchen ist ein Lebensgefühl, aber auch eine Sucht, die krank macht und tödlich sein kann.",C1,15
"Praktisch zeitgleich erfolgte die Grundsteinlegung für ein neues VW-Werk in Mosel, seit 1999 ein Ortsteil Zwickaus.",C1,16
"Während sie auf dem Land bei gutem Wetter auch einen Sternenhimmel sehen, kann das in großen Städten sehr schwierig sein.",C1,20
"Sie setzt eine strenge, rigide, Schlankheitsnorm.",C1,6
Die zur Verfügung gestellten Werke wurden zunächst 1946 ausgestellt und bildeten später den Grundstock der Jugendbibliothek.,C1,16
"Oder es handelt sich bei ihnen um Menschen, die immer alles perfekt machen wollen.",C1,14
"Auch hier offenbart sich eine deutliche Parallele zwischen Vater und Sohn, meint Sandgruber: „Er ist der Star.",C1,17
"Das mag viel klingen, aber immerhin handelt es sich hier um die beeindruckende Fläche von insgesamt 100 Quadratmetern Buntglas, die aufgearbeitet werden muss.",C1,23
schlagen anders als seiner Mutter mitunter Proteste entgegen : Allerdings lässt er sich von Eierwerfern nicht aus der Ruhe bringen.,C1,20
"Glaubt man seiner Biografin Eva Weissweiler, war er vor allem gern allein: „Also, dass er ein Einsiedler und Eigenbrötler war, das hatte sich ja schon weitgehend herumgesprochen.",C1,27
"Er hasste den ‚Beamtenkäfig‘, in dem sein Vater arbeitete und lehnte dessen Wunsch ab, auch er solle eine Beamtenlaufbahn einschlagen.",C1,20
"Wir haben Konkurrenz, also muss sich jeder Mitarbeiter bemühen, den Kunden entsprechend vernünftig gegenüber aufzutreten.",C1,15
Die Lust an der Schadenfreude behielt Busch trotz der Schläge: „Man ist ein Mensch und erfrischt und erbaut sich gern an den kleinen Verdrießlichkeiten und Dummheiten anderer Leute.,C1,28
Mit einem Eins-zu-eins-Konzept hätte man also eine idealtypische Situation geschaffen: Jeder hat seinen Rechner immer dabei und kann überall damit arbeiten und lernen.,C1,23
Aufwändige Bildbearbeitung wie die Gestaltung von Licht und Schatten: für die neueste Generation KI-basierter Grafikprogramme kein Problem.,C1,17
"Da gab es sicherlich auch Gegenwehr , und da wurde gesagt, das ist keine Kunst, das ist ‘n Foto, das ist ‘n Plagiat – wie auch immer.",C1,27
"Der Privat-PKW, das war was Bösartiges, was Verteufeltes, was Kapitalistisches.",C1,10
“ Eigentlich setzt der giftige Qualm dem Körper schon ab der ersten Kippe zu.,C1,14
Aber Muße soll ja eine sinnvolle Beschäftigung sein.,C1,8
"Auch kooperiert die IJB mit Kindergärten, Schulen, Universitäten, Flüchtlingsunterkünften.",C1,9
Für krankhafte Essstörungen gibt es verschiedene Ursachen.,C1,7
"Stattdessen haben wir manchmal den Eindruck, es ginge mit der Welt bergab .",C1,13
"Rohkaffeeproduzenten müssten – so eine Studie – mehrere Hürden überwinden, um sich selbst ein größeres Stück vom Gewinn zu sichern.",C1,20
"Mit Fotografien vermessen wir sozusagen unsere Stücke, um sie in digitale Kleidung – dreidimensionale Kleidung – umzuwandeln .",C1,18
"In denen ruhen die eigentlichen Datenträger: Keramik kacheln aus dem Baumarkt, in die Kunze Texte und Bilder brennt.",C1,18
"Ihnen wurde dann erklärt, dass sie ihr Kind ja in einem christlichen Kindergarten angemeldet haben, dass sie sie in diese Einrichtung gegeben haben.",C1,23
"Vermutlich hatte der Notar, so Sandgruber, den Namen falsch verstanden und trug statt ‚Hiedler‘ ‚Hitler‘ ein.",C1,16
"“ Das südostasiatische Schwellenland ist weltgrößter Robusta-Produzent, gefolgt von Brasilien, Indonesien, Uganda und Indien.",C1,14
"“ In der Bonner Klinik geht man davon aus, dass die Essgestörten, die zu ihnen kommen, auch wirklich behandelt werden wollen.",C1,21
"Ihr Auftrag: Sie sollte ‚Reeducation‘, also demokratische Bildungsarbeit, leisten und damit zur Entnazifizierung Deutschlands beitragen.",C1,15
An ihnen nahmen jedoch ausschließlich Griechen teil.,C1,7
Olympische Momente Dem Franzosen Pierre de Coubertin hat die Welt die Olympischen Spiele der Neuzeit zu verdanken.,C1,17
"Sie verfügen zwar über viel Zeit, doch Zeit für Muße finden sie dabei meist nicht.",C1,15
"“ Müßiggang war mit ganz vielen negativen Eigenschaften verbunden, hatte einen schlechten Ruf: Ein Müßiggänger galt und gilt als arbeitsscheu, faul, lasterhaft.",C1,22
Ihr Einkommen liegt mit weniger als sechs Euro pro Stunde noch unter dem offiziellen Mindestlohn .,C1,16
"Besondere Auswirkungen hat das vor allem für die Länder, die Bohnen der Sorte Arabica produzieren.",C1,15
"Das bestätigt auch Nico Winkelmann vom Traditionsrestaurant „Bümmersteder Krug“: „Ja ich glaub‘, hier in Oldenburg wächst so ziemlich jedes Kind mit Grünkohl auf.",C1,23
"Die Hälfte davon durch Suizid – das ist wichtig zu wissen, deswegen, weil ständiges Hungern auch depressiv macht.",C1,18
Doch eingefleischte Trabi-Liebhaber und -Liebhaberinnen wird das nicht kratzen .,C1,10
"Sie magern ab oder essen, bis sie das schlechte Gewissen plagt, und erbrechen sich anschließend.",C1,15
"Statt in der Region erzeugtes, frisches Lammfleisch zu einem fairen, angemessenen Preis zu kaufen, setzen Verbraucherinnen und Verbraucher lieber auf Importware, die von weit herkommt.",C1,25
Eine Schlüsselrolle spielt China dabei – der bedeutendste Sanktions verweigerer .,C1,11
"Je später also jemand beginnt, umso besser.",C1,7
Die Kriegsverwüstungen hatten ihr Übriges getan : Die meisten Bildungsinstitutionen waren zerstört.,C1,12
Denn deutsche Schafprodukte wie Wolle und Fleisch sind auf dem internationalen Markt nicht konkurrenzfähig.,C1,14
"Und deshalb halte ich es für sehr, sehr wichtig, dass diese Kinder zusammen aufwachsen.",C1,14
"Genauso wenig von Demonstrationen, die sich ihm auf einer Reise in den Norden Englands kürzlich entgegenstellten.",C1,16
"Was schlechte Nachrichten bei uns bewirken Katastrophen, Anschläge, Tote: Täglich werden wir mit negativen Nachrichten konfrontiert.",C1,16
"Wieso muss ich drauf pochen , dass diese(s) Dorfgestaltung rote Dächer, grüne Dächer oder was das gerade so vorgibt – das ist völliger Blödsinn .",C1,25
Doch 2021 in einem Buch veröffentlichte Briefe seines Vaters bringen ein wenig Licht ins Dunkel: Offenbar war auch Alois Hitler ein menschenverachtender Despot.,C1,23
"Also, man liest Bücher, man denkt nach, man pflegt seinen Garten oder spielt Klavier, oder was man sonst so an schönen Dingen tun und treiben kann, und das ist ja eigentlich was Empfehlenswertes.",C1,33
Dem Auge des Prüfers entgeht nichts.,C1,6
"Schätzungen zufolge sind ein Prozent der 15- bis 25-jährigen Mädchen und Frauen von Magersucht, Anorexia nervosa, betroffen.",C1,17
"Und es gibt viele Stellen in seinen schriftlichen Äußerungen, aus denen deutlich wird, wie sehr er unter der Niederlage Frankreichs gelitten hat, 1870/71 im Krieg gegen Preußen.",C1,27
"Schlechte Nachrichten in Dauerschleife : Überschwemmungen, Grubenunglücke, Bombenanschläge, die Corona-Pandemie.",C1,10
"‘ Also zusätzlich zu den klassischen ‚W-Fragen‘ – ‚Wer, Wie, Wo, Wann‘ und so weiter – immer auch dieses ‚Wie kann es weitergehen?",C1,23
Man könnte sagen: Ich bin das fleischgewordene Berlin.,C1,8
"Immer wieder erschienen dort juden-, fremden- und demokratiefeindliche Artikel.",C1,9
"Denn er muss sich ja schließlich erholen und ablenken, und seine Freiheit besteht unter anderem auch da drin, dass er sich unter ‘n Apfelbaum setzt, ein Glas Wein trinkt und in den Himmel starrt, ohne an Vieles zu denken.",C1,39
"Aber das hat mit der Art Bier, wie wir sie zelebrieren und wie sie uns Spaß macht, einfach nichts zu tun.",C1,21
"Und vor allem auch: Er will ein Herrenbauer sein, er will besser sein als die Bauern seiner Umgebung.",C1,18
"Zu den Marktführern gehören die Konzerne Nestlé und Jacobs Douwe Egberts, Lavazza und Tchibo.",C1,14
"Die Bonner Psychologin Annette Lemler-Lauerbach erklärt, was mit den Betroffenen körperlich geschieht: „Es geht so nach und nach komplett das Verhältnis zum Essen verloren.",C1,24
"Denn in Zeiten von Lockdown und Homeoffice wurden daheim häufiger als sonst der Vollautomat , die Kaffeemaschine oder der Kapselautomat angeschmissen oder der Kaffee per Hand etwa in einer French-Press -Kanne frisch aufgebrüht.",C1,33
Die Organisatoren der Olympischen Spiele von 1896 setzten also – wie Lämmer es bildlich ausdrückt – Sportler aus anderen Staaten oben drauf.,C1,22
"Allerdings muss man sich auch darauf einstellen, mindestens einen Monat lang sehr viel zu husten.",C1,15
Wissenschaftler sprechen von Lichtverschmutzung – mit Konsequenzen für Mensch und Natur.,C1,11
"Das ist die Hauptidee, aus der heraus auch diese Bibliothek entstanden ist.",C1,12
"Gyan Härri will das Rad nach dem Tod eines Menschen genauso einsetzen wie die Leichenwagen, die es in seinem Bestattungsunternehmen Aurora auch weiterhin gibt: „Wenn der im Spital oder im Altersheim gestorben ist und zum Beispiel noch zu Hause aufgebahrt werden soll, dann holen wir ihn dort ab, wo er gestorben ist und bringen ihn dorthin, wo die Aufbahrung stattfinden soll.",C1,61
"Deutschland nimmt Tempo bei der Energiewende auf, ist sich dabei aber noch ein bisschen selbst im Weg .",C1,18
“ „Faulpelz“ oder auch „Faultier“ ist eine ausdrucksstarke Bezeichnung für einen trägen oder arbeitsunlustigen Menschen.,C1,15
"Allerdings hat, wie Eberhard Straub weiß, auch dieses bekannte Sprichwort einen Bedeutungswandel durchlebt: „Das ist nun im Grunde natürlich auch ein altes Sprichwort.",C1,23
"Wie das Rauchen mit uns Jo-Jo spielt Rauchen ist ein Lebensgefühl, aber auch eine Sucht, die krank macht und tödlich sein kann.",C1,22
"Diese finden, dass Betreuung und Pflege am Lebensende in der Verantwortung aller und nicht nur in der des Staates und von Gesundheitsorganisationen liegen sollte.",C1,24
"Weil wenn die Rohdaten der Klimabeobachtung nicht dauerhaft festgehalten sind, können zukünftige Generationen unter Umständen gar nicht erkennen, dass es einen Klimawandel gab, und schon gar nicht die Ausmaße .",C1,30
"“ Und es kann helfen, besonders vertrauenswürdige Medien auszuwählen, die Nachrichten seriös aufbereiten.",C1,13
"“ Da fällt man auch mehrfach hin, steigt aber wieder auf, bis man’s kann.",C1,14
Alois Hitler wurde 1837 in Österreich unehelich geboren und hieß eigentlich Schicklgruber.,C1,12
"Allerdings: So ganz außen vor bleiben die Kinder und Jugendlichen dann doch nicht, sagt Raabe: „Wir haben allerdings eine Kinderbibliothek, eine internationale.",C1,22
"Was aber sorgt dafür, dass wir uns von schlechten Nachrichten eher angezogen fühlen als von positiven?",C1,16
Statistisch betrachtet greifen Männer häufiger zum Glimmstängel als Frauen.,C1,9
"Diese Erfahrung hat auch Schäfer Florian Preis aus Duisburg gemacht: „Ich mit meinen Merino-Landschafen, da die qualitativ schon die beste Wolle haben, kriege ich noch über einen Euro pro Kilo.",C1,30
Es geht durch diese Diäten und diese dauerhaften Mangelzustände völlig verloren.,C1,11
"“ Busch erbaute sich, er erfreute sich, an den Verdrießlichkeiten, den Ärgernissen und unangenehmen Dingen, die andere Leute erlebten.",C1,19
"Für die Nachwelt wurden die, die der Kirche Geld spendeten, es stifteten, in Stein verewigt.",C1,15
Denn diese Fahrt findet meist in einem Leichenwagen statt.,C1,9
Sie entdeckten bei den Betroffenen in einem bestimmten Bereich des Gehirns Veränderungen in den neuronalen Knotenpunkten .,C1,17
"“ Angela sorgte, wie sie erzählt, für einen Konflikt, als sie Kreuze aus Pappe gebastelt hatte.",C1,16
"Individuelle Mode aus edlen Materialien – wie dieses Top : MARIE-CHRISTINE STATZ: Es hat einen Rücken, der offen ist , und das kann praktisch sozusagen so hängen.",C1,27
Es wurde dort gemalt und Theater gespielt – auch unter der Anleitung Erich Kästners.,C1,14
“ Familien mit magersüchtigen Angehörigen haben laut Annette Lemler-Lauerbach ein großes Harmoniebedürfnis.,C1,12
"Viele denken immer noch, der TÜV sei eine staatliche Institution.",C1,10
"Für alle, also Magersüchtige und Bulimiker, soll aber erreicht werden, dass sie lernen, mit Genuss zu essen und Konflikte konstruktiv zu bewältigen, statt diese durch Essen und anschließendes Erbrechen oder Hungern zu befriedigen.",C1,33
